nro,wave,varcode,russian,english
545,i20,pl68.2,В какой больнице или больницах Вы лежали в течение последних трех месяцев? В ведомственной больнице?,At one hospital or hospital you were in the past three months? In the departmental hospital?
546,i20,pl68.3,В какой больнице или больницах Вы лежали в течение последних трех месяцев? В частной больнице?,At one hospital or hospital you were in the past three months? In a private hospital?
547,i20,pl25.1,Лекарства; шприцы и перевязочные материалы; которые были Вам необходимы для лечения в больнице; Вы получали бесплатно или платили за них деньгами или подарками?,medication; syringes and dressings;
548,i20,pl69.1a,Вы или Ваша семья платили официально в кассу больницы или аптеку больницы; в которой Вы лежали; согласно офиц. правилам или прейскуранту мед. учреждения за лекарства; шприцы и перевязочные материалы за последние 3 месяца?,You or your family officially paid in cash the hospital pharmacy or hospital; where you were; according to the official. rules or pricelist honey. agency for medicines; syringes and bandages over the last 3 months?
549,i20,pl69.1b,Сколько заплатили в рублях?,How many paid in rubles?
550,i20,pl69.2a,Вы или Ваша семья платили неофициально; в руки деньгами или подарками непосредственно врачам или другому медицинскому персоналу больницы за лекарства; шприцы и перевязочные материалы за последние 3 месяца?,You or your family paid informally; in the hands of money or gifts directly to physicians or other medical personnel hospital for drugs; syringes and bandages over the last 3 months?
551,i20,pl69.2b,Сколько заплатили в рублях?,How many paid in rubles?
552,i20,pl69.3a,Для Вас покупали в аптеках вне больницы; в которой Вы лежали; лекарства; шприцы и перевязочные материалы для лечения в больнице?,For you to buy in pharmacies outside the hospital; where you were; medication; syringes and dressings for treatment in the hospital?
553,i20,pl69.3b,Сколько заплатили в рублях?,How many paid in rubles?
554,i20,pl24.1,Вы платили за пребывание в больнице; медицинскую помощь; лечение; не считая платы за лекарства; шприцы и перевязочные материалы; всё равно как: деньгами или подарками?,You pay for the hospital stay; health care; treatment; excluding charges for drugs; syringes and dressings; still as money or gifts?
555,i20,pl70.1a,Вы или Ваша семья платили официально в кассу согласно офиц.правилам или офиц. прейскуранту в течение последних трех месяцев за Ваше лечение в больнице; не считая платы за лекарства; шприцы и перевязочные материалы?,You or your family officially paid in cash according to ofits.pravilam or official. pricelist in the last three months for your care in the hospital; excluding charges for drugs; syringes and dressings?
556,i20,pl70.1b,Сколько заплатили в рублях?,How many paid in rubles?
557,i20,pl70.2a,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких-либо документов в течение последних трех месяцев за Ваше лечение в больнице; не считая платы за лекарства; шприцы и перевязочные материалы?,You or your family paid informally; in the hands of money - without issuing any documents in the last three months for your care in the hospital; excluding charges for drugs; syringes and dressings?
558,i20,pl70.2b,Сколько заплатили в рублях?,How many paid in rubles?
559,i20,pl70.3a,Вы или Ваша семья платили неофициально; в руки подарками в течение последних трех месяцев за Ваше лечение в больнице; не считая платы за лекарства; шприцы и перевязочные материалы?,You or your family paid informally; into the hands of gifts in the last three months for your care in the hospital; excluding charges for drugs; syringes and dressings?
560,i20,pl70.3b,Сколько заплатили в рублях?,How many paid in rubles?
561,i20,pl76,Вы обращались за стоматологической помощью; включая зубопротезирование; в течение последних трех месяцев?,You asked for dental care; including dentures; during the last three months?
562,i20,pl77.1,Куда Вы обращались за стоматологической помощью в течение последних трех месяцев? В государственную; муниципальную поликлинику?,Where do you apply for dental care in the past three months? In the state; municipal clinic?
563,i20,pl77.2,Куда Вы обращались за стоматологической помощью в течение последних трех месяцев? В ведомственную поликлинику?,Where do you apply for dental care in the past three months? In the departmental clinic?
564,i20,pl77.3,Куда Вы обращались за стоматологической помощью в течение последних трех месяцев? В частную клинику; частный кабинет?,Where do you apply for dental care in the past three months? In a private clinic; private office?
565,i20,pl78.1a,Вы или Ваша семья платили официально в кассу согласно офиц. правилам или офиц. прейскуранту медицинского учреждения за оказанные Вам стоматологические услуги; включая зубопротезирование; в течение последних трех месяцев?,You or your family officially paid in cash according to the official. regulations or official. pricelist medical institution for providing dental services to you; including dentures; during the last three months?
566,i20,pl78.1b,Сколько заплатили в рублях?,How many paid in rubles?
567,i20,pl78.2a,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких-либо документов за оказанные Вам стоматологические услуги; включая зубопротезирование; в течение последних трех месяцев?,You or your family paid informally; in the hands of money - without issuing any documents provided to you for dental services; including dentures; during the last three months?
568,i20,pl78.2b,Сколько заплатили в рублях?,How many paid in rubles?
569,i20,pl78.3a,Вы или Ваша семья платили неофициально; в руки подарками за оказанные Вам стоматологические услуги; включая зубопротезирование; в течение последних трех месяцев?,You or your family paid informally; into the hands of gifts for dental services provided to you; including dentures; during the last three months?
570,i20,pl78.3b,Сколько заплатили в рублях?,How many paid in rubles?
571,i20,pl26,В течение последних трех месяцев Вы показывались медицинскому работнику для профилактического осмотра; а не потому; что были больны?,During the last three months you show HCP for routine inspection; not because; that were sick?
572,i20,pl79.1a,Вы или Ваша семья платили официально в кассу согласно официальным правилам или официальному прейскуранту медицинского учреждения за это профилактическое обследование в течение последних трех месяцев?,"You or your family officially paid in cash according to the official rules, or the official price list of medical institutions for this preventive care in the last three months?"
573,i20,pl79.1b,Сколько заплатили в рублях?,How many paid in rubles?
574,i20,pl79.2a,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких-либо документов за это профилактическое обследование в течение последних трех месяцев?,You or your family paid informally; in the hands of money - without issuing any documents for this preventive care in the last three months?
575,i20,pl79.2b,Сколько заплатили в рублях?,How many paid in rubles?
576,i20,pl79.3a,Вы или Ваша семья платили неофициально; в руки подарками за это профилактическое обследование в течение последних трех месяцев?,You or your family paid informally; into the hands of gifts for this preventive care in the last three months?
577,i20,pl79.3b,Сколько заплатили в рублях?,How many paid in rubles?
578,i20,pl91,Как бы Вы поступили; если бы могли выбирать - где получить необходимые Вам медицинские услуги за официальную плату с одинаковой стоимостью услуг. Вы обратились бы…?,What would you do; if you could choose - where you get the necessary medical services for the official fee equal-cost services. You would turn ...?
579,i20,pl53,У Вас есть постоянный врач; с которым Вы советуетесь по всем вопросам Вашего здоровья?,Do you have a regular doctor; with whom do you ask advice on all aspects of your health?
580,i20,pl54,Есть врач; к которому Вы могли бы обратиться в случае необходимости?,There is a doctor; to which you might apply in case of need?
581,i20,pl92,Назовите медицинское учреждение; где в основном принимает Ваш постоянный врач,What are the health facility; where basically takes your regular doctor
582,i20,pl93,Давайте поговорим о медицинской амбулаторной помощи или консультациях; любых; кроме стоматологии. Есть ли медицинское учреждение; в котором вы постоянно обслуживаетесь или в которое обычно обращаетесь?,Let's talk about health care or outpatient consultations; any; except for dentistry. Is there a medical facility; in which you regularly serviced or which are usually treated?
583,i20,pl94,Что это за медицинское учреждение; в которое Вы обычно обращаетесь за медицинской амбулаторной помощью; кроме стоматологии? Если таких учреждений несколько; назовите то; которое считаете «основным»,"What kind of health care facility; in which you usually seek medical outpatient care; except dentistry? If some of these institutions; call it; which is considered the ""core"""
584,i20,pl95,За последние 2 года – 24 месяца до нынешнего опроса -  случалось ли; что вы меняли основное медицинское учреждение; в котором вы постоянно обслуживаетесь?,Over the past 2 years - 24 months before the current survey - Have; that you have changed the main medical facility; in which you regularly serviced?
585,i20,pl96,Вы сменили медицинское учреждение …?,You changed the medical establishment ...?
586,i20,pl97.1,Почему вы сменили медицинское учреждение? Первая причина,Why did you change the health facility? The first reason
587,i20,pl97.2,Почему вы сменили медицинское учреждение? Вторая причина,Why did you change the health facility? The second reason
588,i20,pl97s,Почему вы сменили медицинское учреждение? Другая причина - какая именно?,Why did you change the health facility? Another reason - what is it?
589,i20,pl98,За последние 2 года – 24 месяца до нынешнего опроса -  приходилось ли Вам менять врача-терапевта в том медицинском учреждении; в котором вы постоянно обслуживаетесь?,Over the past 2 years - 24 months before the current survey - if you ever change the therapist in a medical facility; in which you regularly serviced?
590,i20,pl99,Вы сменили врача-терапевта …?,You changed the therapist ...?
591,i20,pl100,За последние 2 года случалось ли; что Вам нужно было обратиться к врачу в связи с заболеванием или прохождением диспансеризации; профилакт.осмотра? Не учитывайте вызовов скорой помощи или госпитализации,Over the last 2 years Have; what you need to see a doctor due to illness or passing medical examination; profilakt.osmotra? Do not include emergency calls or hospitalization
592,i20,pl101,Сколько у Вас было случаев обращен. к врачам в посл. 2 года?Если Вы посещали одного врача неск. раз;то считайте это как одно обращен. Если Вы проход. диспансериз.;считайте это как одно обращен.,"How many cases have you been facing. doctors in the latest. 2 years? If you have visited a doctor several. time, then consider this as one faces. If you pass. dispanseriz.; consider it as one faces."
593,i20,pl102,Сколько у Вас было таких случаев хотя бы приблизительно?,How many of you have been such cases at least approximately?
594,i20,pl103.1a,За последние 2 года среди учтенных вами случаев обращения к врачам были ли такие; когда у вас была возможность выбора; куда и к кому обратиться; и вы выбирали между двумя или более врачами одной специальности?,Over the past two years among the recorded cases you going to doctors whether such; when you had a choice; where and who to contact; and you can choose between two or more doctors a specialty?
595,i20,pl103.1b,Сколько раз такое случалось,How many times this has happened
596,i20,pl103.2a,За последние 2 года среди учтенных вами случаев обращения к врачам были ли такие; когда у вас была возможность выбора; куда и к кому обратиться; и вы выбирали между двумя или более медицинскими учреждениями?,Over the past two years among the recorded cases you going to doctors whether such; when you had a choice; where and who to contact; and you can choose between two or more medical institutions?
597,i20,pl103.2b,Сколько раз такое случалось,How many times this has happened
598,i20,pl104.1,За последние 2 года Вам не случалось выбирать медицинское учреждение или врача. Чем объясняется; что у Вас не было таких случаев? Первое объяснение,Over the past 2 years you did not happen to choose a medical facility or physician. What is the explanation; that you did not have such cases? The first explanation
599,i20,pl104.2,За последние 2 года Вам не случалось выбирать медицинское учреждение или врача. Чем объясняется; что у Вас не было таких случаев? Второе объяснение,Over the past 2 years you did not happen to choose a medical facility or physician. What is the explanation; that you did not have such cases? The second explanation
600,i20,pl104s,За последние 2 года Вам не случалось выбирать медицинское учреждение или врача. Чем объясняется; что у Вас не было таких случаев? Другое объяснение - какое именно?,Over the past 2 years you did not happen to choose a medical facility or physician. What is the explanation; that you did not have such cases? Another explanation - what is it?
601,i20,pl105,Расскажите о последнем случае в течение последних двух лет; когда Вам приходилось для себя выбирать врача или поликлинику. Вы обращались за помощью терапевта или врача-узкого специалиста?,Tell us about the last case in the last two years; When you have to choose for themselves a doctor or clinic. You asked for help practitioners or a specialist?
602,i20,pl106,Почему вам пришлось выбирать терапевта или поликлинику; в которой можно получить помощь терапевта? Основная причина,Why you had to choose a physician or clinic; where you can get help from doctors? The main reason
603,i20,pl106s,Почему вам пришлось выбирать терапевта или поликлинику; в которой можно получить помощь терапевта? Другая основная причина; какая именно?,Why you had to choose a physician or clinic; where you can get help from doctors? Another main reason; which one?
604,i20,pl107,Почему вам пришлось выбирать врача-узкого специалиста? Основная причина,"Why you had to choose a doctor, a specialist? The main reason"
605,i20,pl107s,Почему вам пришлось выбирать врача-узкого специалиста? Другая основная причина; какая именно?,"Why you had to choose a doctor, a specialist? Another main reason; which one?"
606,i20,pl108,Какое суждение лучше всего описывает то; как вы делали свой выбор?,What best describes the judgment that; as you make your choice?
607,i20,pl109.1,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
608,i20,pl109.2,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
609,i20,pl109.3,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
610,i20,pl109.4,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
611,i20,pl109.5,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
612,i20,pl109.6,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
613,i20,pl109.7,Какими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What sources of information did you use when choosing a physician or medical facility?
614,i20,pl109s,Какими именно другими источниками информации вы пользовались при выборе врача или медицинского учреждения?,What are the names of other sources of information did you use when choosing a physician or medical facility?
615,i20,pl110,Когда вы выбирали к кому/куда обратиться; вы хотели…,When you chose to whom / where to go; you want ...
616,i20,pl111,В каком учреждении работал выбранный вами врач?,In which institutions operate chosen doctor?
617,i20,pl112,Вы получили помощь у этого врача/в этом медицинском учреждении…,You get help from this doctor / medical facility in this ...
618,i20,pl113.1,Почему вы выбрали именно этого врача/это медицинское учреждение? Первая причина,Why did you choose this doctor / medical facility it? The first reason
619,i20,pl113.2,Почему вы выбрали именно этого врача/это медицинское учреждение? Вторая причина,Why did you choose this doctor / medical facility it? The second reason
620,i20,pl113s,Почему вы выбрали именно этого врача/это медицинское учреждение? Другая причина - какая именно?,Why did you choose this doctor / medical facility it? Another reason - what is it?
621,i20,pl114,За последние 3 года – 36 месяцев до нынешнего опроса - были случаи; когда вы нуждались в проведении операции или ином лечении в больнице; другом стационаре?,Over the past 3 years - 36 months before the current survey - there were cases; When you need an operation or other medical treatment in the hospital; another hospital?
622,i20,pl115,Всегда ли у вас была возможность обратиться в больницу; другой стационар или были случаи; когда вам было некуда обратиться?,Always you have had the opportunity to go to the hospital; another hospital or were cases; when you were nowhere to turn?
623,i20,pl116,За последние 3 года – 36 месяцев до нынешнего опроса -  были ли вы госпитализированы в больницу или другой стационар?,Over the past 3 years - 36 months before the current survey - were you admitted to a hospital or other hospital?
624,i20,pl117,Сколько раз за последние 3 года Вы находились в больнице или другом стационаре? Не учитывайте случаи направления на однодневные консультации; на анализы; на диагност. исследования в консультац. отделения; дневные стационары,How many times in the last 3 years you were in a hospital or other hospital? Do not include cases of referral to day consultation; on analyzes; on the diagnostician. research consultation. branch; day care
625,i20,pl118,За последние 3 года среди всех этих случаев обращения в больницу/стационар случались ли такие; когда у вас была возможность выбора; куда обратиться; и вы сами выбирали между двумя или более больницами; другими стационарами?,Over the past 3 years for all these cases treatment in hospital / hospital whether there were such; when you had a choice; where to go; and you can choose between two or more hospitals; other hospitals?
626,i20,pl119,Сколько раз за последние 3 года Вам случалось выбирать между двумя или более больницами; другими стационарами?,How many times in the last 3 years you happen to choose between two or more hospitals; other hospitals?
627,i20,pl120.1,Чем объясняется; что за последние 3 года  у вас не было случаев; когда Вы выбирали больницу; другой стационар? Первое объяснение,What is the explanation; that for the last 3 years you have not had cases; When you choose a hospital; another hospital? The first explanation
628,i20,pl120.2,Чем объясняется; что за последние 3 года  у вас не было случаев; когда Вы выбирали больницу; другой стационар? Второе объяснение,What is the explanation; that for the last 3 years you have not had cases; When you choose a hospital; another hospital? The second explanation
629,i20,pl120s,Чем объясняется; что за последние 3 года  у вас не было случаев; когда Вы выбирали больницу; другой стационар? Другое объяснение - какое именно?,What is the explanation; that for the last 3 years you have not had cases; When you choose a hospital; another hospital? Another explanation - what is it?
630,i20,pl121,Расскажите о последнем случае в течение последних трех лет; когда Вам приходилось для себя выбирать больницу или другой стационар. Вы заранее планировали эту госпитализацию или это была экстренная; неожиданная госпитализация?,Tell us about the last case in the past three years; When you have to choose for themselves a hospital or another hospital. You had planned this hospitalization or it was an emergency; unexpected hospitalization?
631,i20,pl122,Было ли у вас направление на госпитализацию?,Did you have a referral for hospitalization?
632,i20,pl123.1,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
633,i20,pl123.2,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
634,i20,pl123.3,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
635,i20,pl123.4,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
636,i20,pl123.5,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
637,i20,pl123.6,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
638,i20,pl123.7,Откуда вы узнали о вариантах госпитализации при выборе больницы; стационара?,How did you know about the options when choosing a hospital admission; hospital?
639,i20,pl123s,Другой источник информации о вариантах госпитализации при выборе больницы; стационара?,Another source of information on options when choosing a hospital admission; hospital?
640,i20,pl124,Когда вы выбирали больницу; стационар; вы хотели…,When you chose the hospital; hospital; you want ...
641,i20,pl125,Какую больницу; стационар в итоге вы выбрали?,Which hospital; hospital in the end you choose?
642,i20,pl126.1,Почему в итоге была выбрана эта больница; стационар? Первая причина,Why was eventually chosen this hospital; hospital? The first reason
643,i20,pl126.2,Почему в итоге была выбрана эта больница; стационар? Вторая причина,Why was eventually chosen this hospital; hospital? The second reason
644,i20,pl126s,Почему в итоге была выбрана эта больница; стационар? Другая причина - какая именно?,Why was eventually chosen this hospital; hospital? Another reason - what is it?
645,i20,pl127,Вы получили помощь в этой больнице; стационаре …,You have been helped in this hospital; hospital ...
646,i20,ps1.1_l,ПРИСУТСТВОВАЛ ЛИ ПРИ ПРОВЕДЕНИИ ИНТЕРВЬЮ по вопроснику Медицина; ХОТЯ БЫ НЕКОТОРОЕ ВРЕМЯ; КТО-ЛИБО ЕЩЕ ИЗ ЧЛЕНОВ ДОМОХОЗЯЙСТВА,ATTENDED DID DURING INTERVIEW Questionnaire Medicine; Least for a while; Anyone else in the household
647,i20,ps1.2_l,ПРИСУТСТВОВАЛИ ЛИ ПРИ ПРОВЕДЕНИИ ИНТЕРВЬЮ по вопроснику Медицина; ХОТЯ БЫ НЕКОТОРОЕ ВРЕМЯ; ДРУГИЕ ЛЮДИ; НЕ ЧЛЕНЫ ДОМОХОЗЯЙСТВА,PRESENT THERE FOR INTERVIEWING Questionnaire Medicine; Least for a while; Other people; NOT members of the household
648,i20,ps2_l,ОЦЕНИТЕ ОТНОШЕНИЕ РЕСПОНДЕНТА К ИНТЕРВЬЮ по вопроснику Медицина. ОТНОШЕНИЕ БЫЛО,Estimate the ratio of respondents to interview questionnaire Medicine. ratio was
649,i20,ps3_l,ОТМЕТЬТЕ; КАК РЕСПОНДЕНТ ПОНИМАЛ ВОПРОСЫ по вопроснику Медицина,NOTE; How respondents understand the questions on the questionnaire Medicine
650,i20,ps4_l,ОЦЕНИТЕ ПОВЕДЕНИЕ РЕСПОНДЕНТА ВО ВРЕМЯ ИНТЕРВЬЮ по вопроснику Медицина. РЕСПОНДЕНТ,To evaluate the behavior of respondents in an interview on the questionnaire Medicine. RESPONDENT
651,i20,ps5_l,ОЦЕНИТЕ СООБРАЗИТЕЛЬНОСТЬ РЕСПОНДЕНТА по вопроснику Медицина,RESPONDENT RATE Wits Medical Questionnaire
652,i20,ps6_l,ОЦЕНИТЕ ИСКРЕННОСТЬ И ОТКРЫТОСТЬ РЕСПОНДЕНТА по вопроснику Медицина,Appreciate the sincerity and openness of the respondents in the questionnaire Medicine
653,i20,ps7_l,ОТМЕТЬТЕ; НАСКОЛЬКО ПО-ВАШЕМУ МНЕНИЮ НАДЕЖНА ПОЛУЧАЕМАЯ ИНФОРМАЦИЯ по вопроснику Медицина,NOTE; HOW in your opinion reliably receive information on the questionnaire Medicine
654,i20,PM1,Сколько килограмм Вы весите?,How many pounds you weigh?
655,i20,PM2,А какой у Вас рост в сантиметрах?,And what is your height in centimeters?
656,i20,pm2.1,Как изменился Ваш вес в течение последнего года?,How has your weight over the past year?
657,i20,pm3,Как Вы оцениваете Ваше здоровье. Оно у Вас:?,How do you assess your health. It you :?
658,i20,pm20.61,Есть ли у Вас заболевание сердца?,Do you have heart disease?
659,i20,pm20.62,Есть ли у Вас заболевание легких?,Do you have a lung disease?
660,i20,pm20.63,Есть ли у Вас заболевание печени?,Do you have a liver disease?
661,i20,pm20.64,Есть ли у Вас заболевание почек?,Do you have kidney disease?
662,i20,pm20.65,Есть ли у Вас заболевание желудочно-кишечного тракта?,Do you have a disease of the gastrointestinal tract?
663,i20,pm20.66,Есть ли у Вас заболевание позвоночника?,Do you have a disease of the spine?
664,i20,pm20.67,Есть ли у Вас другие хронические заболевания?,Do you have any other chronic disease?
665,i20,pm20.67s,Какие другие хронические заболевания у Вас есть?,What other chronic diseases do you have?
666,i20,pm20.7,Назначена ли Вам какая-нибудь группа по инвалидности?,Do you assigned to any group disability?
667,i20,pm20.8,Какая группа инвалидности Вам назначена?,Which group disability you assigned?
668,i20,pm20.9m,Когда Вам была назначена инвалидность? Вспомните; пожалуйста; месяц,When you were appointed as a disability? Remember; please; month
669,i20,pm20.9y,Когда Вам была назначена инвалидность? Вспомните; пожалуйста; год,When you were appointed as a disability? Remember; please; year
670,i20,pm39,В течение последних 12 месяцев Вам делали хирургические операции?,Over the past 12 months did you surgeries?
671,i20,pm43,Говорил ли Вам когда-нибудь врач; что у Вас диабет или повышенный сахар в крови?,Say whether you've ever had a doctor; that you have diabetes or high blood sugar?
672,i20,pm46,Ставили Вам когда-нибудь диагноз инфаркт миокарда?,Put you ever been diagnosed with myocardial infarction?
673,i20,pm58.1,Говорил ли Вам когда-нибудь врач; что у Вас повышенное артериальное давление?,Say whether you've ever had a doctor; that you have high blood pressure?
674,i20,pm59,Ставил Вам врач диагноз инсульт (кровоизлияние в мозг)?,You put the doctor diagnosed a stroke (cerebral hemorrhage)?
675,i20,pm62,В течение последних 12 месяцев говорил Вам врач; что у Вас анемия?,In the last 12 months the doctor told you; that you have anemia?
676,i20,pm62.1,Говорил Вам когда-нибудь врач; что у Вас туберкулез?,I say to you someday doctor; that if you have TB?
677,i20,pm62.3,Ставили Вам когда-нибудь диагноз гепатит; болезнь Боткина; желтуха?,Put you ever been diagnosed with hepatitis; Botkin's disease; jaundice?
678,i20,pm62.5,Каким типом гепатита Вы болели?,What type of hepatitis you sick?
679,i20,pm62.5s,ДРУГОЕ к вопросу m62.5s,To each question m62.5s
680,i20,PM131,В течение последних 12 месяцев у Вас были серьёзные нервные расстройства; депрессии?,Over the past 12 months have you had serious nervous disorders; Depression?
681,i20,pm64,Вы пользуетесь очками или контактными линзами?,Do you use glasses or contact lenses?
682,i20,pm66,Вы пользуетесь слуховым аппаратом?,Do you use a hearing aid?
683,i20,pm71,Вы курите в настоящее время?,Do you smoke now?
684,i20,pm72,Вспомните; пожалуйста;когда Вы начали курить? Сколько Вам тогда было лет?,"Remember; Please, when you started smoking? How old were you then?"
685,i20,pm73,В течение последних 7 дней Вы курили что-нибудь?,During the past 7 days did you smoke anything?
686,i20,pm74,Что Вы в основном курите? Сейчас я перечислю Вам разные виды курева; а Вы скажите; пожалуйста; что Вы курите чаще всего,What do you mostly smoke? Now I will list you the different types of smokes; and you say; please; that you smoke more often
687,i20,pm75,Сколько примерно штук сигарет или папирос Вы обычно выкуриваете за день?,About how many cigarettes or cigarettes you usually smoke per day?
688,i20,pm149,По какой цене Вы обычно покупаете пачку сигарет; папирос; табака; которые курите?,At what price you would normally buy a pack of cigarettes; cigarettes; tobacco; who smoke?
689,i20,pm150,Что Вы предпримите; если цены на сигареты;папиросы;табак;которые Вы обычно курите; вырастут в два раза?,"What you do; if the price of cigarettes, cigarettes, tobacco, you usually smoke; rise twice?"
690,i20,pm77,Вы курили когда-нибудь?,You ever smoked?
691,i20,pm78,Сколько лет тому назад Вы бросили курить?,How many years ago you quit smoking?
692,i20,pm147,Вы сказали; что Вы бросили курить. Вы дали приблизительный или точный ответ?,You said; that you quit smoking. You gave an approximate or exact answer?
693,i20,pm148_a,Не могли бы Вы дать более точный ответ? ВОЗРАСТ РЕСПОНДЕНТА БЫЛ:,Could you give a more accurate answer? AGE respondents were:
694,i20,pm148_b,Не могли бы Вы дать более точный ответ? БОЛЕЕ ТОЧНОЕ ЧИСЛО ЛЕТ ТОМУ НАЗАД БРОСИЛ(А) КУРИТЬ,Could you give a more accurate answer? More accurate number YEARS AGO throw (A) SMOKING
695,i20,pm79,Вспомните; пожалуйста; когда Вы начали курить? Сколько Вам тогда было лет?,Remember; please; when you started smoking? How old were you then?
696,i20,pm80.0,Употребляете ли Вы хотя бы иногда алкогольные напитки; включая пиво?,Do you drink at least occasionally alcoholic beverages; including beer?
697,i20,pm80,В течение последних 30 дней Вы употребляли алкогольные напитки?,In the last 30 days you drink alcoholic beverages?
698,i20,pm80.1,В течении последних 30 дней Вы употребляли пиво?,"During the last 30 days, you drink beer?"
699,i20,pm81,Как часто Вы употребляли алкогольные напитки в течение последних 30 дней?,How often do you drink alcoholic beverages during the past 30 days?
700,i20,pm82.1,Вы пьете алкогольные напитки до еды?,Do you drink alcoholic beverages before a meal?
701,i20,pm82.2,Вы пьете алкогольные напитки во время еды?,Do you drink alcoholic beverages during meals?
702,i20,pm82.3,Вы пьете алкогольные напитки без еды?,Do you drink alcoholic beverages without food?
703,i20,pm83.1,Скажите; Вы пьете алкогольные напитки дома?,tell me; Do you drink alcoholic beverages at home?
704,i20,pm83.2,Скажите; Вы пьете алкогольные напитки в ресторанах или барах?,tell me; Do you drink alcoholic beverages in restaurants or bars?
705,i20,pm83.3,Скажите; Вы пьете алкогольные напитки в парке; на улице; в подъездах?,tell me; Do you drink alcoholic beverages in the park; on the street; in the hallways?
706,i20,pm83.4,Скажите; Вы пьете алкогольные напитки на работе; по месту учебы?,tell me; Do you drink alcoholic beverages at work; attending college?
707,i20,pm83.5,Скажите; Вы пьете алкогольные напитки в гостях?,tell me; Do you drink alcoholic beverages at a party?
708,i20,pm84.11a,Сейчас я буду перечислять разные спиртные напитки; а Вы скажите; какие из них Вы пили в течение последних 30 дней? Вы пили пиво?,Now I'm going to list the different alcoholic beverages; and you say; which do you drink in the last 30 days? Did you drink beer?
709,i20,pm84.11b,Сколько грамм пива Вы обычно выпивали за день?,How many grams of beer do you usually drink per day?
710,i20,pm84.11d,Сколько дней в месяц пили пива?,How many days a month drinking beer?
711,i20,pm84.12a,Сейчас я буду перечислять разные спиртные напитки; а Вы скажите; какие из них Вы пили в течение последних 30 дней? Вы пили брагу?,Now I'm going to list the different alcoholic beverages; and you say; which do you drink in the last 30 days? You drank Braga?
712,i20,pm84.12b,Сколько грамм браги Вы обычно выпивали за день?,How many grams of mash you usually drink per day?
713,i20,pm84.12d,Сколько дней в месяц пили брагу?,How many days a month drinking Braga?
714,i20,pm84.2a,Сейчас я буду перечислять разные спиртные напитки; а Вы скажите; какие из них Вы пили в течение последних 30 дней? Вы пили сухое вино; шампанское?,Now I'm going to list the different alcoholic beverages; and you say; which do you drink in the last 30 days? You drank dry wine; Champagne?
715,i20,pm84.2b,Сколько грамм сухого вина; шампанского Вы обычно выпивали за день?,How many grams of dry wine; champagne do you usually drink per day?
716,i20,pm84.2d,Сколько дней в месяц пили сухое вино; шампанское?,How many days a month drank dry wine; Champagne?
