,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
378,rj74.1s,,Какую именно другую пенсию Вы получаете? ,What kind of retirement you get another?,                                                                                                     |  9-НЕТ ОТВЕТА                                                                                        | Ветеран боевых действий                                                                              | Участник боевых действий                                                                             | За погибшего сына                                                                                    | Как многодетная мать                                                                                ,21753,0
379,rj74.22,,Вы планируете переход с этого вида трудовой пенсии на другой вид трудовой пенсии? ,You plan to transition to this type of labor pension to another type of labor pension?,Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | Да,5628,16125
380,rj74.23,,На какую трудовую пенсию Вы собираетесь перейти? ,What kind of retirement pension you are going to go?,"НА ТРУДОВУЮ ПЕНСИЮ ПО СТАРОСТИ, ПО ВОЗРАСТУ | НЕТ ОТВЕТА | НА ТРУДОВУЮ ПЕНСИЮ ПО ИНВАЛИДНОСТИ | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НА ТРУДОВУЮ ПЕНСИЮ ПО ПОТЕРЕ КОРМИЛЬЦА",52,21701
381,rj75,,Вы получали пенсию в течение последних 30 дней на руки или на сберкнижку? ,Did you receive a pension for the last 30 days on your hands or savings account?,Да | Нет | НЕТ ОТВЕТА,6087,15666
382,rj77,,Есть ли работа у респондента? ,Does it work the respondent?,"РЕСПОНДЕНТ СЕЙЧАС РАБОТАЕТ, НАХ-СЯ В ОПЛАЧИВ. ИЛИ НЕОПЛАЧ.ОТПУСКЕ, В Т.Ч. ДЕКРЕТНОМ ИЛИ ПО УХОДУ ЗА РЕБЕНКОМ ДО 3 ЛЕТ | У РЕСПОНДЕНТА НЕТ РАБОТЫ",17954,3799
383,rj78,,Вы работали когда-нибудь? ,You ever worked?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,7858,13895
384,rj8,,Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней? ,How many hours you actually worked on the main job in the last 30 days?,     168 |      176 | 99999997 |      160 |      192 |      180,9522,12231
385,rj80.1,,По какой основной причине Вы перестали работать на Вашей последней работе? ,For some the main reason you stopped working at your last job?,"УШЛИ НА ПЕНСИЮ | ПО СОСТОЯНИЮ ЗДОРОВЬЯ | ВАС СОКРАТИЛИ ИЛИ ПРЕДПРИЯТИЕ, ОРГАНИЗАЦИЮ ЗАКРЫЛИ | ПО СЕМЕЙНЫМ ОБСТОЯТЕЛЬСТВАМ - РОЖДЕНИЕ РЕБЕНКА, ВСТУПЛЕНИЕ В БРАК, УХОД ЗА ЧЛЕНАМИ СЕМЬИ, ВЕДЕНИЕ ДОМ.ХОЗЯЙСТВА И Т.Д. | НЕ УСТРАИВАЛА ЗАРАБОТНАЯ ПЛАТА | НЕ УСТРАИВАЛИ УСЛОВИЯ РАБОТЫ - ГРАФИК, УДАЛЕННОСТЬ ОТ ДОМА И Т.Д.",6135,15618
386,rj80.2c,,Код профессии по ISCO88 последней работы до ухода ,Code profession ISCO88 last job before retiring,"уборщик самолета, гостиницы, в организации, мойщик посуды (вручную) | демонстратор товара, продавец в магазине | неквалифицированный рабочий сельского хозяйства, сборщик фруктов | консьержка, привратник, церковный сторож | прочие неквалифицированные рабочие | другие специалисты в области образования",6135,15618
387,rj80a,,В каком году Вы ушли с Вашей последней работы; перестали работать? ,In what year did you leave your last job; stopped working?,    2013 |     2012 |     2011 |     2010 |     2008 |     2009,6135,15618
388,rj80b,,В каком месяце Вы ушли с Вашей последней работы; перестали работать? ,In what month did you leave your last job; stopped working?,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Сентябрь | Август | Май | Июнь | Октябрь,6135,15618
389,rj81,,Хотели бы Вы найти (другую) работу? ,Would you like to find (another) job?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,17954,3799
390,rj8.1,,Скажите; пожалуйста; Вы работали по основной работе дома в течение последних 30 дней? ,tell me; please; You worked on the main job at home in the last 30 days?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,9522,12231
391,rj81.1,,Сколько времени Вы ищете (другую) работу? ,How much time you are looking for (another) job?,99999996 | 99999997 |        4 |        2 |        8 | 99999999,3095,18658
392,rj81.2,,Представьте; что Вам сегодня предложили работу. Какую минимальную зарплату Вам должны платить на этой новой работе; чтобы Вы согласились на нее? Сколько рублей? ,Imagine; that you are offered a job today. What is the minimum salary you have to pay for this new work; You agreed to it? How many rubles?,   20000 |    30000 |    15000 |    25000 |    10000 |    50000,3095,18658
393,rj82,,Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 30 дней? * В 2013 году этот вопрос не задается тем; кто в данный момент не ищет работу (т.е. в вопросе j81.1 отмечено 99999996) . В 2012 году он задавался всем; кто хотел бы найти работу; в том числе и тем из них; кто в период опроса ее не искал ,"You accessed anywhere or to anyone in search of work in the last 30 days? * In 2013, this question is not given by the; who are not currently looking for work (ie the issue of j81.1 noted 99,999,996). In 2012 he was asked to all; who would like to find a job; including those of them; who during the survey it was not looking",Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1182,20571
394,rj8.2,,Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней? ,How many hours did you actually doing this work at home in the last 30 days?,99999997 |       10 |       20 |       60 |       30 |       40,755,20998
395,rj8.3,,Скажите; пожалуйста; Вы учитывали эти часы; когда называли общую продолжительность рабочего времени за последние 30 дней? ,tell me; please; You take into account those hours; called when the total duration of working time in the last 30 days?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,755,20998
396,rj83.1,,Вы обращались в поисках работы в государственные службы занятости; на биржи труда? ,You turned in search of work in the public employment services; labor exchanges?,Нет | Да,848,20905
397,rj83.2,,Вы обращались в поисках работы в негосударственные службы занятости? ,You turned in search of work in the non employment service?,Нет | Да | НЕТ ОТВЕТА,848,20905
398,rj83.3,,Вы обращались в поисках работы к друзьям; знакомым? ,You turned in search of work to friends; familiar?,Да | Нет,848,20905
399,rj83.4,,Вы обращались в поисках работы к родственникам? ,You turned in search of work to relatives?,Да | Нет | НЕТ ОТВЕТА,848,20905
400,rj83.5,,Вы обращались в поисках работы непосредственно на предприятия? ,You turned in search of work directly on the enterprise?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,848,20905
401,rj83.6,,Вы обращались в поисках работы к рекламным объявлениям; кроме Интернета? ,You turned in search of work to the advertisements; other than the Internet?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,848,20905
402,rj83.7,,Вы обращались в поисках работы к рекламным объявлениям в Интернете? ,You turned in search of work to the advertisements on the Internet?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,848,20905
403,rj84.1,,Если бы на прошлой неделе Вам предложили подходящую работу; Вы смогли бы приступить к ней сразу? ,If last week you were offered a suitable job; You could start it at once?,Смогли бы | Не смогли бы | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3095,18658
404,rj84.2,,Как Вы считаете; сколько примерно времени Вам необходимо; чтобы найти (другую) работу? (ДНЕЙ) ,What do you think; approximately how much time you need; to find (another) job? (DAYS),99999997 | 99999996 |       30 |        7 |       60 |       14,3095,18658
405,rj85,,Вы зарегистрированы в государственной службе занятости как безработный(ая)? *В 2013 году вопрос задается всем респондентам; кто в данный момент не работает.  В 2012 году он задавался только неработающим респондентам; которые НЕ получают пенсию.  ,"You are registered in the State Employment Service as unemployed (aq)? * In 2013, the question is asked of all respondents; who is not currently running. In 2012, he was asked only to non-working respondents; who do not receive a pension.",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,7858,13895
406,rj86,,Сколько дней тому назад Вы зарегистрировались в государственной службе занятости? ,How many days ago did you enter the civil service employment?,      60 |       30 |       40 | 99999997 |       90 |       45,182,21571
407,rj87,,Вы получаете пособие по безработице? *В 2013 году к этому вопрос поставлен дополнительный фильтр: он не задается; если респондент получает военную пенсию; пенсию по старости или по выслуге лет (т.е. в вопросе j74.1 отмечен один из кодов 6; 7; 8; 9; 10; 11).  ,"You get unemployment benefits? * In 2013, this question is an additional filter: it is not specified; if the respondent receives a military pension; a retirement pension or superannuation (ie the issue of j74.1 marked one of the codes 6, 7, 8, 9, 10, 11).",Да | Нет,182,21571
408,rj88,,Вы получили пособие по безработице в последние 30 дней? ,You have received unemployment benefits in the last 30 days?,Да | Нет,161,21592
409,rj89,,Сколько денег Вы получили в качестве пособия по безработице в течение последних 30 дней? ,How much money you got as unemployment benefits in the last 30 days?,    1000 |     1020 |      850 |     4900 |      800 |     4200,150,21603
410,rj89.1,,Служба занятости в течение трех последних месяцев Вам помогала трудоустроиться; пройти обучение или переобучение; оказывала психологическую помощь? ,Employment Service over the last three months to help you find a job; undergo training or retraining; psychological assistance?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,182,21571
411,rj9,,По основному месту работы в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли? ,The main job in the last 30 days you have received any money as salary; Prize; subsidies; benefits; income; profits?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,10096,11657
412,rj90,,Какой ответ лучше всего описывает Ваше основное занятие в настоящее время? ,Which answer best describes your main current occupation?,"Работаете на предприятии, в организации, колхозе, совхозе, кооперативе | Пенсионер и не работаете | Работаете не на предприятии, в организации, учреждении, колхозе, совхозе, кооперативе | Временно не работаете по другим причинам и ищете работу | Ученик средней школы, ПТУ | Студент дневного вуза, техникума",17954,3799
413,rk10,,В течение последних 7 дней за Вашим ребенком ухаживали родственники; которые живут отдельно? ,In the last 7 days for your child cared for relatives; who live separately?,Да | Нет,1288,20465
414,rk11,,Сколько дней из последних 7 дней Вам помогали ухаживать за Вашим ребенком родственники; которые живут отдельно? ,How many days in the past 7 days to help you care for your child's relatives; who live separately?,2e+00 | 1e+00 | 5e+00 | 7e+00 | 3e+00 | 4e+00,819,20934
415,rk12a,,В те дни из последних 7; когда Ваши родственники; живущие отдельно; помогали ухаживать за ребенком; сколько в среднем часов и минут в день это составляло? (ЧАСЫ) ,In those days of the last 7; when your relatives; living separately; helped care for the child; the average number of hours and minutes in the day it was? (WATCH),2.0e+00 | 3.0e+00 | 4.0e+00 | 5.0e+00 | 2.4e+01 | 8.0e+00,819,20934
416,rk12b,,В те дни из последних 7; когда Ваши родственники; живущие отдельно; помогали ухаживать за ребенком; сколько в среднем часов и минут в день это составляло? (МИНУТ) ,In those days of the last 7; when your relatives; living separately; helped care for the child; the average number of hours and minutes in the day it was? (MIN),0.0e+00 | 3.0e+01 | 4.0e+01 | 2.0e+01 | 1.5e+01 | 1.0e+01,788,20965
417,rk13,,В течение последних 7 дней ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное? ,"In the last 7 days the child went to kindergarten; nurseries; After-school care in the school, or the like?",Да | Нет,1288,20465
418,rk14,,Сколько дней из последних 7 Ваш ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное? ,"How many days in the past 7 Your child went to kindergarten; nurseries; After-school care in the school, or the like?", 5 |  4 |  2 |  3 |  6 |  1,748,21005
419,rk15a,,В те дни из последних 7 дней; когда ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное; сколько в среднем часов и минут в день это составляло? (ЧАСОВ) ,In those days of the last 7 days; when the child went to kindergarten; nurseries; After-school care in the school or the like; the average number of hours and minutes in the day it was? (Hours),8.0e+00 | 9.0e+00 | 1.0e+01 | 7.0e+00 | 4.0e+00 | 5.0e+00,748,21005
420,rk15b,,В те дни из последних 7 дней; когда ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное; сколько в среднем часов и минут в день это составляло? (МИНУТ) ,In those days of the last 7 days; when the child went to kindergarten; nurseries; After-school care in the school or the like; the average number of hours and minutes in the day it was? (MIN), 0 | 30 | 20 | 40 | 10 | 25,734,21019
421,rk17,,В течение последних 7 дней Ваш помогали ухаживать за Вашим ребенком другие люди; которые не являются Вашими родственниками? ,In the last 7 days your help to look after your child other people; are not your relatives?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1288,20465
422,rk18,,Сколько дней из последних 7 за Вашим ребенком помогали ухаживать люди; не являющиеся Вашими родственниками? ,How many days in the past 7 for your child help people take care of; are not your relatives?, 5 |  1 |  2 |  3 |  7 |  4,120,21633
423,rk19a,,В те дни из последних 7; когда люди; не являющиеся Вашими родственниками; помогали ухаживать за Вашим ребенком; сколько в среднем часов и минут в день это составляло? (ЧАСОВ) ,In those days of the last 7; when people; are not your relatives; helped to care for your child; the average number of hours and minutes in the day it was? (Hours),8.0e+00 | 2.0e+00 | 1.0e+01 | 2.4e+01 | 4.0e+00 | 1.0e+00,120,21633
424,rk19b,,В те дни из последних 7; когда люди; не являющиеся Вашими родственниками; помогали ухаживать за Вашим ребенком; сколько в среднем часов и минут в день это составляло? (МИНУТ) ,In those days of the last 7; when people; are not your relatives; helped to care for your child; the average number of hours and minutes in the day it was? (MIN), 0 | 30 | 20 | 40,113,21640
425,rk20,,Вы уже заплатили или Вам придется заплатить за то; что в последние 7 дней за ребенком ухаживал кто-то; кто не является членом Вашего домохозяйства; или за пребывание (его/ее) в детском учреждении? ,"You have already paid, or you have to pay for it; that in the last 7 days of the child courting someone; who is not a member of your household; or per stay (his / her) in child care?","Нет, Вы не платили и не будете платить | Вы уже уплатили | Вам еще придется уплатить | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА",1288,20465
426,rk21,,Сколько Вы заплатили или Вам придется заплатить за то; что в последние 7 дней за ребенком ухаживал кто-то; кто не является членом Вашего домохозяйства? ,How much you pay or you have to pay for it; that in the last 7 days of the child courting someone; who is not a member of your household?,2.5000e+02 | 3.0000e+02 | 1.0000e+08 | 4.0000e+02 | 5.0000e+02 | 2.0000e+02,475,21278
427,rk3.1,,В каком классе Вы учитесь? ,What grade do you study?,2.0e+00 | 4.0e+00 | 1.0e+00 | 7.0e+00 | 5.0e+00 | 3.0e+00,2487,19266
428,rk3.2,,Вы учитесь в...? ,You learn to ...?,"Обычной средней школе | Гимназии, школе с гимназическими классами | Общеобразовательном колледже, лицее | Школе с углубленным или профильным преподаванием предметов | В школе другого типа | Вечерней школе",2487,19266
429,rk3.2s,,ДРУГОЕ к rk3.2 - Вы учитесь в...? ,To each rk3.2 - you learn to ...?,                                 | Надомное обучение                | 8 тип школы                      | 9                                | Кадетская школа                  | Коррекционная школа             ,21753,0
430,rk3.3,,Кому принадлежит школа; которую посещает Ваш ребенок? ,Who owns the school; your child attends?,"Государству, муниципалитету | Ведомству или предприятию | Частным лицам | Кому-либо ещё | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",1777,19976
431,rk3.4,,Как бы Вы оценили (его/ее) успеваемость…? *В 2013 году добавили вариант ответа 99999996 'ОЦЕНКИ НЕ СТАВЯТ ' ,"How would you describe (his / her) performance ...? * In 2013, the added answer 99999996 'ASSESSMENT do not put'",В основном пятерки и четверки | В основном четверки | В основном четверки и тройки | Почти все – пятерки | ОЦЕНКИ НЕ СТАВЯТ | В основном тройки,1777,19976
432,rk7.1,,(Он/она) посещает уроки физкультуры в школе? ,(He / she) attends physical education classes in school?,Да | Нет,1777,19976
433,rk7.2,,Как часто (он/она) занимается физкультурой во время школьных занятий - на уроках? ,How often (he / she) is engaged in physical activity during school hours - in the classroom?,3-4 раза в неделю | 2 раза в неделю | 1-3 раза в месяц | 1 раз в неделю | Каждый день,1720,20033
434,rk7.3.1a,,(Он/она) занимается во время школьных занятий карате; дзюдо; самбо; борьбой; боксом; гимнастикой? ,(He / she) is engaged during school hours karate; judo; Sambo; struggle; boxing; gymnastics?,Нет | Да | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,1720,20033
435,rk7.3.1b,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий карате; дзюдо; самбо; борьбой; боксом; гимнастикой? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged during school hours karate; judo; Sambo; struggle; boxing; gymnastics? (Hours),0e+00 | 1e+00 | 1e+08 | 2e+00 | 3e+00 | 4e+00,383,21370
436,rk7.3.1c,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий карате; дзюдо; самбо; борьбой; боксом; гимнастикой? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged during school hours karate; judo; Sambo; struggle; boxing; gymnastics? (MIN),45 | 30 | 40 |  0 | 20 | 15,354,21399
437,rk7.3.2a,,(Он/она) занимается во время школьных занятий подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? ,(He / she) is engaged during school hours moving sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,1720,20033
438,rk7.3.2b,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged during school hours moving sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (Hours),0e+00 | 1e+00 | 2e+00 | 1e+08 | 3e+00 | 4e+00,1088,20665
439,rk7.3.2c,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged during school hours moving sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (MIN), 0 | 30 | 45 | 40 | 20 | 35,1002,20751
440,rk7.3.3a,,(Он/она) занимается во время школьных занятий легкой атлетикой; лыжами; коньками? ,(He / she) is engaged during school athletics; skiing; skates?,Нет | Да | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,1720,20033
441,rk7.3.3b,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий легкой атлетикой; лыжами; коньками? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged during school athletics; skiing; skates? (Hours),0e+00 | 1e+00 | 1e+08 | 2e+00 | 3e+00 | 6e+00,846,20907
442,rk7.3.3c,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий легкой атлетикой; лыжами; коньками? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged during school athletics; skiing; skates? (MIN),45 | 30 |  0 | 40 | 20 | 15,785,20968
443,rk7.3.4a,,(Он/она) занимается во время школьных занятий другими видами физической активности? ,(He / she) is engaged in classroom activities other types of physical activity?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,1720,20033
444,rk7.3.4b,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий другими видами физической активности? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in classroom activities other types of physical activity? (Hours),0e+00 | 1e+00 | 2e+00 | 1e+08 | 3e+00 | 4e+00,1146,20607
445,rk7.3.4c,,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий другими видами физической активности? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in classroom activities other types of physical activity? (MIN), 0 | 30 | 45 | 40 | 20 | 15,1041,20712
446,rk7.4,,(Он/она) занимается физкультурой и спортом до или после уроков (занятия с тренером или просто подвижные игры во дворе - футбол; салочки; классики; прятки; езда на велосипеде; роликах и т.п.)? ,"(He / she) is engaged in physical culture and sports before or after school (trainer or simply outdoor games in the yard - soccer; salochki; classics; hide and seek, biking, rollerblading, etc.)?",Да | Нет,1777,19976
447,rk7.5,,Как часто (он/она) занимается физкультурой и спортом; включая подвижные игры во дворе; до или после уроков? ,How often (he / she) is engaged in physical culture and sports; including mobile games in the yard; before or after school?,3-4 раза в неделю | Каждый день | 2 раза в неделю | 1 раз в неделю | 1-3 раза в месяц | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1053,20700
448,rk761.1a,,Занимается (он/она) до или после школьных уроков рисованием или музыкой? ,Engaged (he / she) before or after school hours painting or music?,Нет | Да,1777,19976
449,rk761.1b,,Сколько часов и минут в неделю (он/она)занимается рисованием или музыкой? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in painting or music? (Hours),2.0e+00 | 1.0e+00 | 3.0e+00 | 0.0e+00 | 4.0e+00 | 5.0e+00,632,21121
450,rk761.1c,,Сколько часов и минут в неделю(он/она)занимается рисованием или музыкой? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in painting or music? (MIN), 0 | 30 | 20 | 40 | 45 | 15,614,21139
451,rk761.2a,,Занимается (он/она) до или после школьных уроков танцами; фотографией; театром или какими-то другими видами художественного творчества? ,Engaged (he / she) before or after school dance lessons; photograph; theater or some other kinds of art?,Нет | Да | НЕТ ОТВЕТА,1777,19976
452,rk761.2b,,Сколько часов и минут в неделю (он/она) занимается танцами; фотографией; театром или какими-то другими видами художественного творчества? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in dancing; photograph; theater or some other kinds of art? (Hours),2.0e+00 | 1.0e+00 | 3.0e+00 | 4.0e+00 | 6.0e+00 | 0.0e+00,365,21388
453,rk761.2c,,Сколько часов и минут в неделю (он/она) занимается танцами; фотографией; театром или какими-то другими видами художественного творчества? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in dancing; photograph; theater or some other kinds of art? (MIN), 0 | 30 | 40 | 20 | 35 | 45,362,21391
454,rk761.3a,,Занимается (он/она) до или после школьных уроков в кружках юного техника; технического моделирования; юного натуралиста; лепкой; выпиливанием или другими видами технического и прикладного творчества? ,Engaged (he / she) before or after school hours in the circles of young technology; technical modeling; young naturalist; modeling; by sawing or other types of technical and applied arts?,Нет | Да,1777,19976
455,rk761.3b,,Сколько часов и минут в неделю (он/она) занимается в кружках технического и прикладного творчества? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in the circles of technical and applied arts? (Hours),1e+00 | 2e+00 | 3e+00 | 4e+00 | 0e+00 | 6e+00,158,21595
456,rk761.3c,,Сколько часов и минут в неделю (он/она) занимается в кружках технического и прикладного творчества? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in the circles of technical and applied arts? (MIN), 0 | 30 | 20 | 40 | 45 | 35,154,21599
457,rk761.4a,,Занимается (он/она) до или после школьных уроков углубленным изучением компьютерных технологий? ,Engaged (he / she) before or after school hours in-depth study of computer technology?,Нет | Да | НЕТ ОТВЕТА,1777,19976
458,rk761.4b,,Сколько часов и минут в неделю (он/она)занимается углубленным изучением компьютерных технологий? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in in-depth study of computer technology? (Hours),2.0e+00 | 1.0e+00 | 3.0e+00 | 0.0e+00 | 5.0e+00 | 1.0e+01,73,21680
459,rk761.4c,,Сколько часов и минут в неделю (он/она)занимается углубленным изучением компьютерных технологий? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in in-depth study of computer technology? (MIN), 0 | 30 | 45 | 20 | 35 | 40,71,21682
460,rk761.5a,,Занимается (он/она) до или после школьных уроков иностранным языком? ,Engaged (he / she) before or after school hours of a foreign language?,Нет | Да | НЕТ ОТВЕТА,1777,19976
461,rk761.5b,,Сколько часов и минут в неделю (он/она)занимается иностранным языком? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in a foreign language? (Hours),2.0e+00 | 1.0e+00 | 3.0e+00 | 0.0e+00 | 4.0e+00 | 6.0e+00,271,21482
462,rk761.5c,,Сколько часов и минут в неделю (он/она)занимается иностранным языком? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in a foreign language? (MIN), 0 | 30 | 20 | 45 | 40 | 35,270,21483
463,rk761.6a,,Занимается (он/она) до или после школьных уроков какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? ,Engaged (he / she) before or after school hours some more items; selected parent or child; for more knowledge?,Нет | Да | НЕТ ОТВЕТА,1777,19976
464,rk761.6b,,Сколько часов и минут в неделю (он/она)занимается какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in some more items; selected parent or child; for more knowledge? (Hours), 1 |  2 |  3 |  4 |  0 |  6,105,21648
465,rk761.6c,,Сколько часов и минут в неделю (он/она)занимается какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in some more items; selected parent or child; for more knowledge? (MIN), 0 | 30 | 20 | 35 | 27 | 40,105,21648
466,rk7.6.1a,,(Он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? ,(He / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics?,Нет | Да,1053,20700
467,rk7.6.1b,,Сколько часов и минут в неделю (он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics? (Hours),2.0e+00 | 1.0e+00 | 4.0e+00 | 3.0e+00 | 6.0e+00 | 1.0e+01,159,21594
468,rk7.6.1c,,Сколько часов и минут в неделю (он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics? (MIN), 0 | 30 | 20 | 45 | 15 | 10,158,21595
469,rk7.6.2a,,(Он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? ,(He / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming?,Нет | Да,1053,20700
470,rk7.6.2b,,Сколько часов и минут в неделю (он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (Hours),2.0e+00 | 1.0e+00 | 3.0e+00 | 4.0e+00 | 0.0e+00 | 6.0e+00,491,21262
471,rk7.6.2c,,Сколько часов и минут в неделю (он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (МИНУТ) ,How many hours and minutes a week (he / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (MIN), 0 | 30 | 45 | 20 | 40 | 15,471,21282
472,rk7.6.3a,,(Он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами? ,(He / she) is engaged in before or after school athletics; skiing; skates; rollers?,Нет | Да | НЕТ ОТВЕТА,1053,20700
473,rk7.6.3b,,Сколько часов и минут в неделю (он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами? (ЧАСОВ) ,How many hours and minutes a week (he / she) is engaged in before or after school athletics; skiing; skates; rollers? (Hours),1.0e+00 | 2.0e+00 | 3.0e+00 | 0.0e+00 | 4.0e+00 | 1.0e+08,256,21497
