varcode,russian,english
rl3.1.4a,Этот договор на доп.добровол.мед. страхование оплачивает кто-то другой (не Вы сами и не Ваше предприятие)? (Для детей до 14 лет: не Вы сами; не Ваше домохозяйство; не Ваше предприятие; не организация кого-то из членов домохоз.) *В 2012 году формулировка в детском вопроснике была такая же; как во взрослом. ,"This treaty on dop.dobrovol.med. insurance pays someone else (not you yourself and your company)? (Children under 14 years: Do not you yourself, not your household, not your company, not an organization some of the members domohoz.) * In 2012, the wording in the children's questionnaire was the same; as an adult."
rl3.1.4b,Сколько за год заплатили в рублях? ,How much per year paid in rubles?
rl3.1.4s,ДРУГОЕ к в.l3.1.4 - Кто другой оплачивает этот договор на доп. добровольное медиц. страхование? ,To each v.l3.1.4 - Who else pays the agreement on extra. voluntary medical de. insurance?
rl5.0,Cкажите; пожалуйста; как часто Вы посещаете врача в течение года? ,Ckazhite; please; how often do you visit the doctor for a year?
rl83,Сколько раз Вы себе или кто-нибудь для Вас вызывал «Скорую помощь» в течение последних 12 месяцев? ,"How many times have you yourself or someone for you called ""emergency"" in the past 12 months?"
rl841.1a,"Платили ли Вы за вызовы ""Скорой помощи"" официально с оформлением документов на оплату в течение последних 12 месяцев? ","Did you pay for the call ""ambulance"" officially with the paperwork for payment in the last 12 months?"
rl841.1b,"Сколько Вы заплатили за вызовы ""Скорой помощи"" официально с оформлением документов на оплату в течение последних 12 месяцев? ","How much do you pay for calls ""first aid"" officially with the paperwork for payment in the last 12 months?"
rl841.2a,"Платили ли Вы за вызовы ""Скорой помощи"" неофициально; в руки; деньгами - без оформления каких-либо документов; в течение последних 12 месяцев? ","Did you pay for the call ""ambulance"" informally; in the hands; money - without filing any documents; in the last 12 months?"
rl841.2b,"Сколько Вы заплатили за вызовы ""Скорой помощи"" неофициально; в руки; деньгами - без оформления каких-либо документов; в течение последних 12 месяцев? ","How much do you pay for calls ""first aid"" informally; in the hands; money - without filing any documents; in the last 12 months?"
rl841.3a,"Платили ли Вы за вызовы ""Скорой помощи"" неофициально; в руки; подарками в течение последних 12 месяцев? ","Did you pay for the call ""ambulance"" informally; in the hands; gifts in the last 12 months?"
rl841.3b,"Сколько Вы заплатили за вызовы ""Скорой помощи"" неофициально; в руки; подарками в течение последних 12 месяцев? ","How much do you pay for calls ""first aid"" informally; in the hands; gifts in the last 12 months?"
rl5,Были у Вас в течение последних 30 дней какие-либо проблемы со здоровьем? ,Were you in the last 30 days any health problems?
rl5.1,А может быть в последние 30 дней у Вас было легкое недомогание; например; болела голова; горло или зуб; был насморк или легкое расстройство желудка; небольшое повышение температуры или ожог; ушиб; ссадина? ,And maybe in the last 30 days you had a slight indisposition; for example; headache; throat or tooth; had a cold or a slight upset stomach; low-grade fever or burn; injury; abrasion?
rl58,Что Вы сделали; чтобы решить те проблемы со здоровьем; которые возникали у Вас в течение последних 30 дней? ,What have you done; to solve the health problems; who do you have in the last 30 days?
rl59.1,В течение последних 30 дней Вы обращались за амбулаторной помощью в поликлинику городскую; районную; ведомственную; сельскую? Не учитывайте стоматологическую помощь ,Over the past 30 days did you seek outpatient clinic in the city; areas; departmental; countryside? Do not include dental care
rl59.2,В течение последних 30 дней Вы обращались за амбулаторной помощью в частную поликлинику? Не учитывайте стоматологическую помощь ,Over the past 30 days did you seek outpatient care in a private clinic? Do not include dental care
rl59.3,"В течение последних 30 дней Вы обращались за амбулаторной помощью в амбулаторное отделение больницы районной; городской; ведомственной; сельской; в фельдшерский пункт? Не учитывайте стоматологическую помощь *В 2013 году в формулировку вопроса добавлены слова ""в фельдшерский пункт"" ","Over the past 30 days did you seek outpatient care in the outpatient department of a hospital district; city; departmental; rural; a medical assistant's point? Do not include dental care * In 2013, in the wording of the question, the words ""in the medical assistant's point"""
rl59.4,В течение последних 30 дней Вы обращались за амбулаторной помощью в амбулаторное отделение платной больницы? Не учитывайте стоматологическую помощь ,Over the past 30 days did you seek outpatient care in the outpatient department paid the hospital? Do not include dental care
rl59.5,В течение последних 30 дней Вы обращались за амбулаторной помощью к частному врачу? Не учитывайте стоматологическую помощь ,Over the past 30 days did you seek outpatient care to a private doctor? Do not include dental care
rl88.1a,Вы или Ваша семья платили официально в кассу согласно официальным правилам или официальному прейскуранту за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней? ,"You or your family officially paid in cash according to the official rules, or the official price list for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?"
rl88.1b,Сколько заплатили в рублях? ,How many paid in rubles?
rl88.2a,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких- либо документов за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней? ,You or your family paid informally; in the hands of money - without registration of any documents for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?
rl88.2b,Сколько заплатили в рублях? ,How many paid in rubles?
rl88.3a,Вы или Ваша семья платили неофициально; в руки подарками за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней? ,You or your family paid informally; into the hands of presents for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?
rl88.3b,Сколько заплатили в рублях? ,How many paid in rubles?
rl66,Были ли у Вас или Вашей семьи в течение последних 30 дней расходы на покупку любых лекарств и перевязочных материалов для Вашего лечения дома? ,Have you or your family in the last 30 days the cost of purchasing any drugs and dressings for the treatment of your home?
rl67,Сколько всего денег Вы потратили на эти цели? ,How much money you spent for this purpose?
rl89,В течение последних 12 месяцев Вы пропустили по болезни сколько-нибудь рабочих или учебных дней? ,"During the past 12 months, have you missed due to illness any working or school days?"
rl90,Сколько всего дней Вы пропустили по болезни за последние 12 месяцев? ,How many days did you miss due to illness in the past 12 months?
rl20,Вы лежали в больнице в течение последних трех месяцев? ,You were in the hospital for the last three months?
rl23,Сколько всего дней из последних трех месяцев Вы провели в больнице? ,How many days in the past three months you spent in the hospital?
rl68.1,В какой больнице или больницах Вы лежали в течение последних трех месяцев? В государственной; муниципальной больнице? ,At one hospital or hospital you were in the past three months? In the state; municipal hospital?
rl68.2,В какой больнице или больницах Вы лежали в течение последних трех месяцев? В ведомственной больнице? ,At one hospital or hospital you were in the past three months? In the departmental hospital?
rl68.3,В какой больнице или больницах Вы лежали в течение последних трех месяцев? В частной больнице? ,At one hospital or hospital you were in the past three months? In a private hospital?
rl25.1,Лекарства; шприцы и перевязочные материалы; которые были Вам необходимы для лечения в больнице; Вы получали бесплатно или платили за них деньгами или подарками? ,medication; syringes and dressings; that were needed to treat you in the hospital; You get a free or paid for them with money or gifts?
rl69.1a,Вы или Ваша семья платили официально в кассу больницы или аптеку больницы; в которой Вы лежали; согласно офиц. правилам или прейскуранту мед. учреждения за лекарства; шприцы и перевязочные материалы за последние 3 месяца? ,You or your family officially paid in cash the hospital pharmacy or hospital; where you were; according to the official. rules or pricelist honey. agency for medicines; syringes and bandages over the last 3 months?
rl69.1b,Сколько заплатили в рублях? ,How many paid in rubles?
rl69.2a,Вы или Ваша семья платили неофициально; в руки; деньгами или подарками непосредственно врачам или другому медицин. персоналу больницы; в которой Вы лежали; за лекарства; шприцы и перевязочные материалы за последние 3 месяца? ,You or your family paid informally; in the hands; money or gifts directly to physicians or other medical. hospital staff; where you were; for drugs; syringes and bandages over the last 3 months?
rl69.2b,Сколько заплатили в рублях? ,How many paid in rubles?
rl69.3a,Для Вас покупали в аптеках вне больницы; в которой Вы лежали; лекарства; шприцы и перевязочные материалы для лечения в больнице за последние 3 месяца? ,For you to buy in pharmacies outside the hospital; where you were; medication; syringes and dressings for treatment in the hospital for the past 3 months?
rl69.3b,Сколько заплатили в рублях? ,How many paid in rubles?
rl24.1,Вы платили за пребывание в больнице; медицинскую помощь; лечение; не считая платы за лекарства; шприцы и перевязочные материалы; всё равно как: деньгами или подарками? ,You pay for the hospital stay; health care; treatment; excluding charges for drugs; syringes and dressings; still as money or gifts?
rl70.1a,Вы платили официально в кассу согласно офиц.правилам или офиц. прейскуранту в течение последних 3-х месяцев за Ваше пребывание; лечение; мед.помощь в больнице; не считая платы за лекарства; шприцы и перевязочные материалы? ,You are paid in cash according to official ofits.pravilam or official. pricelist for the last 3 months of your stay; treatment; Medical Assistance in the hospital; excluding charges for drugs; syringes and dressings?
rl70.1b,Сколько заплатили в рублях? ,How many paid in rubles?
rl70.2a,Вы семья платили неофициально; в руки деньгами - без оформления каких-либо документов в течение последних 3-х месяцев за Ваше пребывание; лечение; мед.помощь в больнице; не считая платы за лекарства; шприцы и перевязочные материалы? ,You pay the family informally; in the hands of money - without issuing any documents in the last 3 months of your stay; treatment; Medical Assistance in the hospital; excluding charges for drugs; syringes and dressings?
rl70.2b,Сколько заплатили в рублях? ,How many paid in rubles?
rl70.3a,Вы семья платили неофициально; в руки подарками в течение последних 3-х месяцев за Ваше пребывание; лечение; мед.помощь в больнице; не считая платы за лекарства; шприцы и перевязочные материалы? ,You pay the family informally; into the hands of gifts over the last 3 months of your stay; treatment; Medical Assistance in the hospital; excluding charges for drugs; syringes and dressings?
rl70.3b,Сколько заплатили в рублях? ,How many paid in rubles?
rl76,Вы обращались за стоматологической помощью; включая зубопротезирование; в течение последних трех месяцев? ,You asked for dental care; including dentures; during the last three months?
rl77.1,Куда Вы обращались за стоматологической помощью в течение последних трех месяцев? В государственную; муниципальную поликлинику? ,Where do you apply for dental care in the past three months? In the state; municipal clinic?
rl77.2,Куда Вы обращались за стоматологической помощью в течение последних трех месяцев? В ведомственную поликлинику? ,Where do you apply for dental care in the past three months? In the departmental clinic?
rl77.3,Куда Вы обращались за стоматологической помощью в течение последних трех месяцев? В частную клинику; частный кабинет? ,Where do you apply for dental care in the past three months? In a private clinic; private office?
rl78.1a,Вы или Ваша семья платили официально в кассу согласно офиц. правилам или офиц. прейскуранту медицинского учреждения за оказанные Вам стоматологические услуги; включая зубопротезирование; в течение последних трех месяцев? ,You or your family officially paid in cash according to the official. regulations or official. pricelist medical institution for providing dental services to you; including dentures; during the last three months?
rl78.1b,Сколько заплатили в рублях? ,How many paid in rubles?
rl78.2a,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких- либо документов за оказанные Вам стоматологические услуги; включая зубопротезирование; в течение последних трех месяцев? ,You or your family paid informally; in the hands of money - without registration of any documents provided to you for dental services; including dentures; during the last three months?
rl78.2b,Сколько заплатили в рублях? ,How many paid in rubles?
rl78.3a,Вы или Ваша семья платили неофициально; в руки подарками за оказанные Вам стоматологические услуги; включая зубопротезирование; в течение последних трех месяцев? ,You or your family paid informally; into the hands of gifts for dental services provided to you; including dentures; during the last three months?
rl78.3b,Сколько заплатили в рублях? ,How many paid in rubles?
rl26,В течение последних трех месяцев Вы показывались медицинскому работнику для профилактического осмотра; а не потому; что были больны? ,During the last three months you show HCP for routine inspection; not because; that were sick?
rl79.1a,Вы или Ваша семья платили официально в кассу согласно официальным правилам или официальному прейскуранту медицинского учреждения за это профилактическое обследование в течение последних трех месяцев? ,"You or your family officially paid in cash according to the official rules, or the official price list of medical institutions for this preventive care in the last three months?"
rl79.1b,Сколько заплатили в рублях? ,How many paid in rubles?
rl79.2a,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких- либо документов за это профилактическое обследование в течение последних трех месяцев? ,You or your family paid informally; in the hands of money - without registration of any documents for this preventive care in the last three months?
rl79.2b,Сколько заплатили в рублях? ,How many paid in rubles?
rl79.3a,Вы или Ваша семья платили неофициально; в руки подарками за это профилактическое обследование в течение последних трех месяцев? ,You or your family paid informally; into the hands of gifts for this preventive care in the last three months?
rl79.3b,Сколько заплатили в рублях? ,How many paid in rubles?
rm1,Сколько килограмм Вы весите? ,How many pounds you weigh?
rm2,А какой у Вас рост в сантиметрах? ,And what is your height in centimeters?
rm2.1,"Как изменился Ваш вес в течение последнего года? *В 2013 году в детском вопроснике добавили слова: ""Если ребенку еще нет года; то как изменился (его\ее) вес с момента рождения?"" ","How has your weight over the past year? * In 2013, in the children's questionnaire added the words: ""If the child is not yet a year, how has changed (his \ her) weight at birth?"""
rm3,Как Вы оцениваете Ваше здоровье. Оно у Вас:? ,How do you assess your health. It you :?
rm20.61,Есть ли у Вас заболевания сердца? ,Do you have heart disease?
rm20.62,"Есть ли у Вас заболевания легких; бронхов? *В 2013 году в формулировку вопроса добавили слово ""бронхов"" ","Do you have a lung disease; bronchi? * In 2013, in the wording of the question have added the word ""bronchi"""
rm20.63,Есть ли у Вас заболевания печени? ,Do you have a liver disease?
rm20.64,Есть ли у Вас заболевания почек? ,Do you have kidney disease?
rm20.65,Есть ли у Вас заболевания желудочно-кишечного тракта? ,Do you have a disease of the gastrointestinal tract?
rm20.66,Есть ли у Вас заболевания позвоночника? ,Do you have a disease of the spine?
rm20.68,Есть ли у Вас заболевания эндокринной системы; диабет или повышенный сахар крови? ,Do you have a disease of the endocrine system; diabetes or high blood sugar?
rm20.69,Есть ли у Вас гипертоническая болезнь; повышенное артериальное давление? ,Do you have hypertension; high blood pressure?
rm20.610,Есть ли у Вас заболевания суставов? ,Do you have a disease of the joints?
rm20.611,Есть ли у Вас заболевание ЛОР-органов? ,Do you have a disease of upper respiratory tract?
rm20.612,Есть ли у Вас неврологические заболевания? ,Do you have a neurological disease?
rm20.613,Есть ли у Вас заболевания глаз? ,Do you have an eye disease?
rm20.615,Есть ли у Вас аллергия? ,Do you have allergies?
rm20.616,Есть ли у Вас варикозное расширение вен? ,Do you have varicose veins?
rm20.617,Есть ли у Вас заболевания кожного покрова? ,Do you have a disease of the skin?
rm20.618,Есть ли у Вас онкологические заболевания? ,Do you have cancer?
rm20.614,"Есть ли у Вас гинекологические заболевания? *В 2013 году этот вопрос не задается мужчинам. А 2012 году у мужчин он был равен 2 ""Нет"". ","Do you have a gynecological disease? * In 2013, this question is not given to men. And in 2012 he was among men is 2 ""No""."
rm20.619,"Есть ли у Вас заболевания мочеполовой системы? *Этот пункт добавлен в 2013 году. В 2012 году эти заболевания попадали в пункт ""Другие хронические заболевания"" ","Do you have any diseases of the genitourinary system? * This item has been added in 2013. In 2012, these diseases fall into the item ""Other chronic diseases"""
rm20.67,Есть ли у Вас другие хронические заболевания? ,Do you have any other chronic disease?
rm20.67s,Какие другие хронические заболевания у Вас есть? ,What other chronic diseases do you have?
rm20.7,Назначена ли Вам какая-нибудь группа по инвалидности? ,Do you assigned to any group disability?
rm20.8,Какая группа инвалидности Вам назначена? *В 2013 году изменены формулировки ответов. В 2012 году они были: 1 – Первая группа или третья степень; 2 – Вторая группа или вторая степень; 3 – Третья группа или первая степень. ,"Which group disability you assigned? * In 2013, changed the wording of the responses. In 2012, they were: 1 - The first group or the third degree; 2 - The second group or second degree; 3 - The third group or the first degree."
rm20.9m,Когда Вам была назначена инвалидность? Вспомните; пожалуйста; месяц ,When you were appointed as a disability? Remember; please; month
rm20.9y,Когда Вам была назначена инвалидность? Вспомните; пожалуйста; год ,When you were appointed as a disability? Remember; please; year
rm39,В течение последних 12 месяцев Вам делали хирургические операции? ,Over the past 12 months did you surgeries?
rm43,Говорил ли Вам когда-нибудь врач; что у Вас диабет или повышенный сахар в крови? ,Say whether you've ever had a doctor; that you have diabetes or high blood sugar?
rm46,"Ставили Вам когда-нибудь диагноз ""инфаркт миокарда""? ","Put you ever been diagnosed with ""myocardial infarction""?"
rm58.1,Говорил ли Вам когда-нибудь врач; что у Вас повышенное артериальное давление? ,Say whether you've ever had a doctor; that you have high blood pressure?
rm59,Ставил Вам врач диагноз инсульт (кровоизлияние в мозг)? ,You put the doctor diagnosed a stroke (cerebral hemorrhage)?
rm62,В течение последних 12 месяцев говорил Вам врач; что у Вас анемия? ,In the last 12 months the doctor told you; that you have anemia?
rm62.1,Говорил Вам когда-нибудь врач; что у Вас туберкулез? ,I say to you someday doctor; that if you have TB?
rm62.3,"Ставили Вам когда-нибудь диагноз ""гепатит""; ""болезнь Боткина""; ""желтуха""? ","Put you ever been diagnosed with ""hepatitis""; ""infectious disease""; ""jaundice""?"
rm62.5,Каким типом гепатита Вы болели? ,What type of hepatitis you sick?
rm62.5s,ДРУГОЕ к rm62.5s - Каким типом гепатита Вы болели? ,To each rm62.5s - What type of hepatitis you sick?
rm131,В течение последних 12 месяцев у Вас были серьёзные нервные расстройства; депрессии? ,Over the past 12 months have you had serious nervous disorders; Depression?
rm64,Вы пользуетесь очками или контактными линзами? ,Do you use glasses or contact lenses?
rm66,Вы пользуетесь слуховым аппаратом? ,Do you use a hearing aid?
rm71,Вы курите в настоящее время? ,Do you smoke now?
rm72,Когда Вы начали курить? Сколько Вам тогда было лет? ,When did you start smoking? How old were you then?
rm73,В течение последних 7 дней Вы курили что-нибудь? ,During the past 7 days did you smoke anything?
rm74,Что Вы в основном курите? Сейчас я перечислю Вам разные виды курева; а Вы скажите; пожалуйста; что Вы курите чаще всего ,What do you mostly smoke? Now I will list you the different types of smokes; and you say; please; that you smoke more often
rm75,Сколько примерно штук сигарет; папирос или трубок Вы обычно выкуриваете за день? ,About how many cigarettes; cigarettes or pipes you usually smoke per day?
rm149,По какой цене Вы обычно покупаете пачку сигарет; папирос; табака; которые курите? ,At what price you would normally buy a pack of cigarettes; cigarettes; tobacco; who smoke?
rm150,Что Вы предпримите; если цены на сигареты; папиросы; табак; которые Вы обычно курите; вырастут в два раза? ,What you do; if the price of cigarettes; cigarettes; tobacco; you usually smoke; rise twice?
rm77,Вы курили когда-нибудь? ,You ever smoked?
rm78,Сколько лет тому назад Вы бросили курить? ,How many years ago you quit smoking?
rm147,Вы сказали; что Вы бросили курить. Вы дали приблизительный или точный ответ? ,You said; that you quit smoking. You gave an approximate or exact answer?
rm148_a,Не могли бы Вы дать более точный ответ? ВОЗРАСТ РЕСПОНДЕНТА БЫЛ: ,Could you give a more accurate answer? AGE respondents were:
rm148_b,Не могли бы Вы дать более точный ответ? БОЛЕЕ ТОЧНОЕ ЧИСЛО ЛЕТ ТОМУ НАЗАД БРОСИЛ(А) КУРИТЬ ,Could you give a more accurate answer? More accurate number YEARS AGO throw (A) SMOKING
rm79,Вспомните; пожалуйста; когда Вы начали курить? Сколько Вам тогда было лет? ,Remember; please; when you started smoking? How old were you then?
rm80.0,Вы употребляете хотя бы иногда алкогольные напитки; включая пиво ,Do you drink at least occasionally alcoholic beverages; including beer
rm80,В течение последних 30 дней Вы употребляли алкогольные напитки? ,In the last 30 days you drink alcoholic beverages?
rm80.1,В течении последних 30 дней Вы употребляли пиво? ,"During the last 30 days, you drink beer?"
rm81,Как часто Вы употребляли алкогольные напитки в течение последних 30 дней? ,How often do you drink alcoholic beverages during the past 30 days?
rm82.1,Вы пьете алкогольные напитки до еды? ,Do you drink alcoholic beverages before a meal?
rm82.2,Вы пьете алкогольные напитки во время еды? ,Do you drink alcoholic beverages during meals?
rm82.3,Вы пьете алкогольные напитки без еды? ,Do you drink alcoholic beverages without food?
rm83.1,Вы пьете алкогольные напитки дома? ,Do you drink alcoholic beverages at home?
rm83.2,Вы пьете алкогольные напитки в ресторанах или барах? ,Do you drink alcoholic beverages in restaurants or bars?
rm83.3,Вы пьете алкогольные напитки в парке; на улице; в подъезде? ,Do you drink alcoholic beverages in the park; on the street; in the stairwell?
rm83.4,Вы пьете алкогольные напитки на работе; по месту учебы? ,Do you drink alcoholic beverages at work; attending college?
rm83.5,Вы пьете алкогольные напитки в гостях? ,Do you drink alcoholic beverages at a party?
rm84111a,Вы пили пиво промышленного производства в течение последних 30 дней? ,You drank beer in industrial production in the last 30 days?
rm84111b,Сколько грамм пива промышленного производства Вы обычно выпивали за день? ,How many grams of beer industrial production do you usually drink per day?
rm84111d,Сколько дней в месяц Вы пили пиво промышленного производства? ,How many days a month you drank beer in industrial production?
rm84112a,Вы пили пиво домашнее в течение последних 30 дней? ,You drank beer at home in the last 30 days?
rm84112b,Сколько грамм пива домашнего Вы обычно выпивали за день? ,How many grams of beer home you usually drink per day?
rm84112d,Сколько дней в месяц Вы пили пиво домашнее? ,How many days a month you were drinking beer at home?
rm84.12a,Вы пили брагу в течение последних 30 дней? ,You drank Braga in the last 30 days?
rm84.12b,Сколько грамм браги Вы обычно выпивали за день? ,How many grams of mash you usually drink per day?
rm84.12d,Сколько дней в месяц Вы пили брагу? ,How many days a month you drank Braga?
rm84.8a,Вы пили домашнее вино любое - виноградное; плодово-ягодное и т.п. - в течение последних 30 дней? ,"You drank homemade wine any - grape; fruit and berry, etc. - During the last 30 days?"
rm84.8b,Сколько грамм любого домашнего вина Вы обычно выпивали за день? ,How many grams of any house wine do you usually drink per day?
rm84.8d,Сколько дней в месяц Вы пили домашнее вино? ,How many days a month you drank homemade wine?
rm84.21a,Вы пили сухое вино; шампанское промышленного производства в течение последних 30 дней? ,You drank dry wine; champagne industrial production in the last 30 days?
rm84.21b,Сколько грамм сухого вина; шампанского промышленного производства Вы обычно выпивали за день? ,How many grams of dry wine; industrial production of champagne you usually drink per day?
rm84.21d,Сколько дней в месяц Вы пили сухое вино; шампанское промышленного производства? ,How many days a month you drank dry wine; champagne industrial production?
rm84.31a,"Вы пили крепленое вино промышленного производства; в том числе мартини; вермут в течение последних 30 дней? *В 2013 году в формулировку вопроса добавили слова "" в том числе мартини; вермут"" ","You drink fortified wine of industrial production; including martinis; vermouth over the past 30 days? * In 2013, in the wording of the question added the words ""including martinis, vermouth"""
rm84.31b,Сколько грамм крепленого вина промышленного производства Вы обычно выпивали за день? ,How many grams of fortified wine industrial production do you usually drink per day?
rm84.31d,Сколько дней в месяц Вы пили крепленое вино промышленного производства? ,How many days a month you drink fortified wine manufacturing?
rm84.4a,Вы пили самогон в течение последних 30 дней? ,You drank moonshine in the last 30 days?
rm84.4b,Сколько грамм самогона Вы обычно выпивали за день? ,How many grams of vodka do you usually drink per day?
rm84.4d,Сколько дней в месяц Вы пили самогон? ,How many days a month you drank moonshine?
rm84.5a,Вы пили водку или другие крепкие напитки в течение последних 30 дней? ,You drank vodka or other spirits in the last 30 days?
rm84.5b,Сколько грамм водки или других крепких напитков Вы обычно выпивали за день? ,How many grams of vodka or other strong drinks do you usually drink per day?
rm84.5d,Сколько дней в месяц Вы пили водку или другие крепкие напитки? ,How many days a month you drank vodka or other spirits?
rm84.9a,Вы пили коньяк; виски; ликеры в течение последних 30 дней? ,You drank brandy; whiskey; liqueurs in the last 30 days?
rm84.9b,Сколько грамм коньяка; виски; ликера Вы обычно выпивали за день? ,How many grams of cognac; whiskey; liquor do you usually drink per day?
rm84.9d,Сколько дней в месяц Вы пили коньяк; виски; ликеры? ,How many days a month you drank cognac; whiskey; liqueurs?
rm84.7a,Вы пили коктейли; содержащие алкоголь в течение последних 30 дней? ,You drank cocktails; containing alcohol in the last 30 days?
rm84.7b,Сколько грамм коктейля; содержащего алкоголь; Вы обычно выпивали за день? ,How many grams of cocktail; containing alcohol; Do you usually drink per day?
rm84.7d,Сколько дней в месяц пили коктейли; содержащие алкоголь? ,How many days a month drinking cocktails; containing alcohol?
rm84.6a,Вы пили что-нибудь другое в течение последних 30 дней? ,Did you drink anything else in the last 30 days?
rm84.6b,Сколько грамм Вы обычно выпивали за день других спиртных напитков; кроме выше перечисленных? ,How many grams do you usually drink per day for other alcoholic beverages; except for the above?
rm84.6d,Сколько дней в месяц пили что-нибудь другое? ,How many days a month drinking something else?
rm84.6c,Что именно другое Вы пили? ,What is more you drink?
rm151,Как часто Вы питаетесь вне дома? ,How often do you eat out?
rm152,Удается ли Вам в целом питаться регулярно; не реже 3-х раз в день; изо дня в день? ,Are you able to eat regularly as a whole; at least 3 times a day; from day to day?
rm117.0,За последние 30 дней Вы принимали какие-либо витамины; минеральные вещества; биологически активные добавки? ,Over the past 30 days you are taking any vitamins; minerals; dietary supplements?
rm117.1,За последние 12 месяцев Вы сидели на какой-нибудь диете? Диетой мы считаем любое изменение в Вашей обычной еде именно для того; чтобы сбросить вес; похудеть; сохранить или улучшить здоровье? ,"Over the past 12 months, have you sat on some diet? Diet we consider any change in your usual meal is in order; to lose weight; lose weight; maintain or improve health?"
rm113.1a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз бегом трусцой; катанием на коньках; лыжах? ,"Did you do during the last 12 months, at least 12 times jogging; ice skating; skiing?"
rm113.1b,Сколько месяцев? ,How many months?
rm113.1c,Сколько раз в месяц? ,How many times a month?
rm113.1d,Сколько минут одно занятие? ,How many minutes of one session?
rm11311a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз упражнениями на тренажерах? ,"Did you do during the last 12 months, at least 12 times the exercises at the gym?"
rm11311b,Сколько месяцев? ,How many months?
rm11311c,Сколько раз в месяц? ,How many times a month?
rm11311d,Сколько минут одно занятие? ,How many minutes of one session?
rm11312a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз прогулочной ходьбой? ,"Did you do during the last 12 months, at least 12 times casual walking?"
rm11312b,Сколько месяцев? ,How many months?
rm11312c,Сколько раз в месяц? ,How many times a month?
rm11312d,Сколько минут одно занятие? ,How many minutes of one session?
rm11313a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз спортивной ходьбой? ,"Did you do during the last 12 months, at least 12 times sports walking?"
rm11313b,Сколько месяцев? ,How many months?
rm11313c,Сколько раз в месяц? ,How many times a month?
rm11313d,Сколько минут одно занятие? ,How many minutes of one session?
rm11314a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз ездой на велосипеде? ,"Did you do during the last 12 months, at least 12 times cycling?"
rm11314b,Сколько месяцев? ,How many months?
rm11314c,Сколько раз в месяц? ,How many times a month?
rm11314d,Сколько минут одно занятие? ,How many minutes of one session?
rm113.2a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз плаванием? ,"Did you do during the last 12 months, at least 12 times in swimming?"
rm113.2b,Сколько месяцев? ,How many months?
rm113.2c,Сколько раз в месяц? ,How many times a month?
rm113.2d,Сколько минут одно занятие? ,How many minutes of one session?
rm113.3a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз танцами; аэробикой; шейпингом; йогой? ,"Did you do during the last 12 months, at least 12 times dancing; aerobics; shaping; yoga?"
rm113.3b,Сколько месяцев? ,How many months?
rm113.3c,Сколько раз в месяц? ,How many times a month?
rm113.3d,Сколько минут одно занятие? ,How many minutes of one session?
rm113.4a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз баскетболом; волейболом; футболом; хоккеем? ,"Did you do during the last 12 months, at least 12 times in basketball; volleyball; football; hockey?"
rm113.4b,Сколько месяцев? ,How many months?
rm113.4c,Сколько раз в месяц? ,How many times a month?
rm113.4d,Сколько минут одно занятие? ,How many minutes of one session?
rm113.5a,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз бадминтоном; теннисом - большим или настольным? ,"Did you do during the last 12 months, at least 12 times badminton; tennis - tennis or table?"
