"","varcode","nro","russian","english"
"453","rk761.2c",694,"Сколько часов и минут в неделю (он/она) занимается танцами; фотографией; театром или какими-то другими видами художественного творчества? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in dancing; photograph; theater or some other kinds of art? (MIN)"
"454","rk761.3a",695,"Занимается (он/она) до или после школьных уроков в кружках юного техника; технического моделирования; юного натуралиста; лепкой; выпиливанием или другими видами технического и прикладного творчества?","Engaged (he / she) before or after school hours in the circles of young technology; technical modeling; young naturalist; modeling; by sawing or other types of technical and applied arts?"
"455","rk761.3b",696,"Сколько часов и минут в неделю (он/она) занимается в кружках технического и прикладного творчества? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in the circles of technical and applied arts? (Hours)"
"456","rk761.3c",697,"Сколько часов и минут в неделю (он/она) занимается в кружках технического и прикладного творчества? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in the circles of technical and applied arts? (MIN)"
"457","rk761.4a",698,"Занимается (он/она) до или после школьных уроков углубленным изучением компьютерных технологий?","Engaged (he / she) before or after school hours in-depth study of computer technology?"
"458","rk761.4b",699,"Сколько часов и минут в неделю (он/она)занимается углубленным изучением компьютерных технологий? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in in-depth study of computer technology? (Hours)"
"459","rk761.4c",700,"Сколько часов и минут в неделю (он/она)занимается углубленным изучением компьютерных технологий? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in in-depth study of computer technology? (MIN)"
"460","rk761.5a",701,"Занимается (он/она) до или после школьных уроков иностранным языком?","Engaged (he / she) before or after school hours of a foreign language?"
"461","rk761.5b",702,"Сколько часов и минут в неделю (он/она)занимается иностранным языком? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in a foreign language? (Hours)"
"462","rk761.5c",703,"Сколько часов и минут в неделю (он/она)занимается иностранным языком? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in a foreign language? (MIN)"
"463","rk761.6a",704,"Занимается (он/она) до или после школьных уроков какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний?","Engaged (he / she) before or after school hours some more items; selected parent or child; for more knowledge?"
"464","rk761.6b",705,"Сколько часов и минут в неделю (он/она)занимается какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in some more items; selected parent or child; for more knowledge? (Hours)"
"465","rk761.6c",706,"Сколько часов и минут в неделю (он/она)занимается какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in some more items; selected parent or child; for more knowledge? (MIN)"
"466","rk7.6.1a",677,"(Он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой?","(He / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics?"
"467","rk7.6.1b",678,"Сколько часов и минут в неделю (он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics? (Hours)"
"468","rk7.6.1c",679,"Сколько часов и минут в неделю (он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics? (MIN)"
"469","rk7.6.2a",680,"(Он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание?","(He / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming?"
"470","rk7.6.2b",681,"Сколько часов и минут в неделю (он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (Hours)"
"471","rk7.6.2c",682,"Сколько часов и минут в неделю (он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (MIN)"
"472","rk7.6.3a",683,"(Он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами?","(He / she) is engaged in before or after school athletics; skiing; skates; rollers?"
"473","rk7.6.3b",684,"Сколько часов и минут в неделю (он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in before or after school athletics; skiing; skates; rollers? (Hours)"
"474","rk7.6.3c",685,"Сколько часов и минут в неделю (он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in before or after school athletics; skiing; skates; rollers? (MIN)"
"475","rk7.6.4a",686,"(Он/она) занимается до или после уроков другими видами физической активности; например; салочки; прятки; катание на велосипеде?","(He / she) is engaged in before or after school, other types of physical activity; for example; salochki; hide and seek; cycling?"
"476","rk7.6.4b",687,"Сколько часов и минут в неделю (он/она) занимается до или после уроков другими видами физической активности; например; салочки; прятки; катание на велосипеде? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in before or after school, other types of physical activity; for example; salochki; hide and seek; cycling? (Hours)"
"477","rk7.6.4c",688,"Сколько часов и минут в неделю (он/она) занимается до или после уроков другими видами физической активности; например; салочки; прятки; катание на велосипеде? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in before or after school, other types of physical activity; for example; salochki; hide and seek; cycling? (MIN)"
"478","rk771.1a",722,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками различными видами физической активности; спортом? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives various kinds of physical activity; sports? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"479","rk771.1b",723,"Сколько часов и минут в неделю (он/она) занимается различными видами физической активности; спортом? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in various types of physical activity; sports? (Hours)"
"480","rk771.1c",724,"Сколько часов и минут в неделю (он/она) занимается различными видами физической активности; спортом? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in various types of physical activity; sports? (MIN)"
"481","rk771.2a",725,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками творчеством и ремеслами? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives creativity and crafts? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"482","rk771.2b",726,"Сколько часов и минут в неделю (он/она) занимается творчеством и ремеслами? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in creativity and crafts? (Hours)"
"483","rk771.2c",727,"Сколько часов и минут в неделю (он/она) занимается творчеством и ремеслами? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in creativity and crafts? (MIN)"
"484","rk771.3a",728,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками подготовкой уроков; домашних заданий? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives preparing lessons; Homework? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"485","rk771.3b",729,"Сколько часов и минут в неделю (он/она) занимается подготовкой уроков; домашних заданий? (ЧАСОВ)","How many hours and minutes a week (he / she) is preparing lessons; Homework? (Hours)"
"486","rk771.3c",730,"Сколько часов и минут в неделю (он/она) занимается подготовкой уроков; домашних заданий? (МИНУТ)","How many hours and minutes a week (he / she) is preparing lessons; Homework? (MIN)"
"487","rk771.4a",731,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives some subjects; selected parent or child; for more knowledge? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"488","rk771.4b",732,"Сколько часов и минут в неделю (он/она) занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (Hours)"
"489","rk771.4c",733,"Сколько часов и минут в неделю (он/она) занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (MIN)"
"490","rk7.7.1a",707,"До или после школьных уроков (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры?","Before or after school hours (he / she) is watching TV; video; playing video or computer games?"
"491","rk7.7.1b",708,"Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (ЧАСОВ)","How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (Hours)"
"492","rk7.7.1c",709,"Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (МИНУТ)","How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (MIN)"
"493","rk7.7.3a",713,"До или после школьных уроков (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки?","Before or after school hours (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers?"
"494","rk7.7.3b",714,"Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (ЧАСОВ)","How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (Hours)"
"495","rk7.7.3c",715,"Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (МИНУТ)","How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (MIN)"
"496","rk7.7.4a",719,"До или после школьных уроков (он/она) делает уроки?","Before or after school hours (he / she) does his homework?"
"497","rk7.7.4b",720,"Сколько часов и минут в день (он/она) делает уроки? (ЧАСОВ)","How many hours and minutes per day (he / she) does learned? (Hours)"
"498","rk7.7.4c",721,"Сколько часов и минут в день (он/она) делает уроки? (МИНУТ)","How many hours and minutes per day (he / she) does learned? (MIN)"
"499","rk7.7.6a",716,"До или после школьных уроков (он/она) читает?","Before or after school hours (he / she) is reading?"
"500","rk7.7.6b",717,"Сколько часов и минут в день (он/она) читает? (ЧАСОВ)","How many hours and minutes per day (he / she) reads? (Hours)"
"501","rk7.7.6c",718,"Сколько часов и минут в день (он/она) читает? (МИНУТ)","How many hours and minutes per day (he / she) reads? (MIN)"
"502","rk7.7.7a",710,"До или после школьных уроков (он/она) сидит в Интернете или локальной сети?","Before or after school hours (he / she) sits on the Internet or a local network?"
"503","rk7.7.7b",711,"Сколько часов и минут в день (он/она) сидит в Интернете или локальной сети? (ЧАСОВ)","How many hours and minutes a day (he / she) sits on the Internet or a local network? (Hours)"
"504","rk7.7.7c",712,"Сколько часов и минут в день (он/она)сидит в Интернете или локальной сети? (МИНУТ)","How many hours and minutes a day (he / she) sits on the Internet or a local network? (MIN)"
"505","rk7.8.1",735,"Как (он/она) добирается до школы? *В 2013 году добавлен вариант ответа 99999996 'ОБУЧАЕТСЯ ДОМА '","As (he / she) gets to school? * In 2013, the added answer 99999996 'study at home'"
"506","rk7.8.2a",736,"Сколько всего часов и минут занимает у (него/нее) дорога туда и обратно? (ЧАСОВ)","How many hours and minutes takes in (him / her) way there and back? (Hours)"
"507","rk7.8.2b",737,"Сколько всего часов и минут занимает у (него/нее) дорога туда и обратно? (МИНУТ)","How many hours and minutes takes in (him / her) way there and back? (MIN)"
"508","rk8_1",746,"(Он/она) сейчас посещает какое-нибудь детское дошкольное учреждение?","(He / she) is now visiting some nursery?"
"509","rk8.1",738,"Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что пойдет в школу через год или два?","Why (he / she) is not studying in secondary school? Because going to school in a year or two?"
"510","rk8.13",760,"(Он/она) занимается регулярно физкультурой и спортом в детском дошкольном учреждении; секции или дома?","(He / she) is engaged in regular physical exercise and sports the child care center; section or at home?"
"511","rk81311a",761,"(Он/она) занимается рисованием или музыкой?","(He / she) is engaged in painting or music?"
"512","rk81311b",762,"Сколько часов и минут в неделю (он/она) занимается рисованием или музыкой? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in painting or music? (Hours)"
"513","rk81311c",763,"Сколько часов и минут в неделю (он/она) занимается рисованием или музыкой? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in painting or music? (MIN)"
"514","rk81312a",764,"(Он/она) занимается театром; рукоделием; танцами или каким-то другим творчеством?","(He / she) is engaged in the theater; crafts; dancing or some other creative?"
"515","rk81312b",765,"Сколько часов и минут в неделю (он/она) занимается театром; рукоделием; танцами или каким-то другим творчеством? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in the theater; crafts; dancing or some other creative? (Hours)"
"516","rk81312c",766,"Сколько часов и минут в неделю (он/она) занимается театром; рукоделием; танцами или каким-то другим творчеством? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in the theater; crafts; dancing or some other creative? (MIN)"
"517","rk81314a",767,"(Он/она) занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?","(He / she) is engaged in some subjects; selected parent or child; for more knowledge?"
"518","rk81314b",768,"Сколько часов и минут в неделю (он/она) занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (Hours)"
"519","rk81314c",769,"Сколько часов и минут в неделю (он/она) занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (MIN)"
"520","rk81315a",770,"(Он/она) занимается иностранным языком?","(He / she) is engaged in a foreign language?"
"521","rk81315b",771,"Сколько часов и минут в неделю (он/она) занимается иностранным языком? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in a foreign language? (Hours)"
"522","rk81315c",772,"Сколько часов и минут в неделю (он/она) занимается иностранным языком? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in a foreign language? (MIN)"
"523","rk81511a",782,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками различными видами физической активности; спортом? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives various kinds of physical activity; sports? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"524","rk81511b",783,"Сколько часов и минут в неделю (он/она) занимается различными видами физической активности; спортом? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in various types of physical activity; sports? (Hours)"
"525","rk81511c",784,"Сколько часов и минут в неделю (он/она) занимается различными видами физической активности; спортом? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in various types of physical activity; sports? (MIN)"
"526","rk81512a",785,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками творчеством? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives creativity? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"527","rk81512b",786,"Сколько часов и минут в неделю (он/она) занимается творчеством? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in creativity? (Hours)"
"528","rk81512c",787,"Сколько часов и минут в неделю (он/она) занимается творчеством? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in creativity? (MIN)"
"529","rk81513a",788,"(Он/она) занимается под руководством или вместе с родителями; взрослыми родственниками по предметам; выбранным родителями или ребенком; для получения дополнительных знаний? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками). В 2013 году вариант ответа 99999996 НЕ ОТНОСИТСЯ заменен ответом НЕ ЗАНИМАЕТСЯ ЭТИМ","(He / she) has been under the direction of, or with their parents; adult relatives in subjects; selected parent or child; for more knowledge? * In 2013, in the wording of the question is added the word ""adult"" (relatives). In 2013, the answer 99999996 ""DOES NOT APPLY"" replaced the answer ""do not do it"""
"530","rk81513b",789,"Сколько часов и минут в неделю (он/она) занимается по предметам; выбранным родителями или ребенком; для получения дополнительных знаний? (ЧАСОВ)","How many hours and minutes a week (he / she) is engaged in the subjects; selected parent or child; for more knowledge? (Hours)"
"531","rk81513c",790,"Сколько часов и минут в неделю(он/она) занимается по предметам; выбранным родителями или ребенком; для получения дополнительных знаний? (МИНУТ)","How many hours and minutes a week (he / she) is engaged in the subjects; selected parent or child; for more knowledge? (MIN)"
"532","rk8.151a",773,"(Он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры?","(He / she) is watching TV; video; playing video or computer games?"
"533","rk8.151b",774,"Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (ЧАСОВ)","How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (Hours)"
"534","rk8.151c",775,"Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (МИНУТ)","How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (MIN)"
"535","rk8.152a",779,"(Он/она) читает или слушает чтение; когда (ему/ей) читают?","(He / she) reads or listens to the reading; when (he / she) are reading?"
"536","rk8.152b",780,"Сколько часов и минут в день (он/она) читает или слушает чтение; когда (ему/ей) читают? (ЧАСОВ)","How many hours and minutes a day (he / she) reads or listens to the reading; when (he / she) are reading? (Hours)"
"537","rk8.152c",781,"Сколько часов и минут в день (он/она) читает или слушает чтение; когда (ему/ей) читают? (МИНУТ)","How many hours and minutes a day (he / she) reads or listens to the reading; when (he / she) are reading? (MIN)"
"538","rk8.153a",776,"(Он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки?","(He / she) plays in the game - in the machine; dolls; designers; chess; Checkers?"
"539","rk8.153b",777,"Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (ЧАСОВ)","How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (Hours)"
"540","rk8.153c",778,"Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (МИНУТ)","How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (MIN)"
"541","rk816.1a",791,"В течение последних 12 месяцев Ваш ребенок посещал(а) театры; музеи; выставки; зоопарк; цирк и другие культурно-зрелищные мероприятия?","During the past 12 months, your child attended (a) theaters; museums; exhibitions; Zoo; circus and other cultural and entertainment events?"
"542","rk816.1b",792,"Сколько раз за последние 12 месяцев Ваш ребенок посещал(а) культурно-зрелищные мероприятия с родителями; взрослыми родственниками? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками).","How many times in the past 12 months, your child attended (a) cultural and entertainment events with parents; adult relatives? * In 2013, in the wording of the question is added the word ""adult"" (relatives)."
"543","rk816.1c",793,"Сколько раз за последние 12 месяцев Ваш ребенок посещал(а) культурно-зрелищные мероприятия без родителей; родственников?","How many times in the past 12 months, your child attended (a) cultural and entertainment events without parents; relatives?"
"544","rk816.2a",794,"В течение последних 12 месяцев Ваш ребенок был(а) на каких-либо экскурсиях; в поездках; походах и т.п.?","During the past 12 months, your child has been (a) on any excursions; travel; campaigns, etc.?"
"545","rk816.2b",795,"Сколько раз за последние 12 месяцев Ваш ребенок был(а) на каких-либо экскурсиях; в поездках; походах и т.п. с родителями; взрослыми родственниками? *В 2013 году в формулировку вопроса добавлено слово взрослыми (родственниками).","How many times in the past 12 months, your child has been (a) on any excursions; travel; campaigns, etc. with parents; adult relatives? * In 2013, in the wording of the question is added the word ""adult"" (relatives)."
"546","rk816.2c",796,"Сколько раз за последние 12 месяцев Ваш ребенок был(а) на каких-либо экскурсиях; в поездках; походах и т.п. без родителей; родственников?","How many times in the past 12 months, your child has been (a) on any excursions; travel; campaigns, etc. without parents; relatives?"
"547","rk8.17",797,"Кто-нибудь из родителей проводил с Вашим ребенком отпуск в последние 12 месяцев?","Someone from parents spend with your child leave in the past 12 months?"
"548","rk8.18",798,"Ваш ребенок встречается со сверстниками (вне детского сада/вне школы)?","Your child meets with peers (outside of kindergarten / outside school)?"
"549","rk8.19.1",799,"(Он/она) гуляет во дворе с друзьями?","(He / she) walks in the yard with your friends?"
"550","rk8.19.2",800,"(Он/она) общается с друзьями у Вас дома или в гостях?","(He / she) is chatting with friends at your home or at a party?"
"551","rk8.19.3",801,"(Он/она) общается в кружках; секциях; на курсах?","(He / she) talks in circles; sections; courses?"
"552","rk8.19.4",802,"(Он/она) общается на экскурсиях; в кино; театрах; на детских праздниках вне дома?","(He / she) speaks on excursions; in the movie; theaters; at children's parties outside the home?"
"553","rk8_2",747,"Кому принадлежит детское дошкольное учреждение; которое посещает Ваш ребенок?","Who owns the nursery; that your child attends?"
"554","rk8.2",739,"Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что у (него/нее) плохое здоровье; посещать школу не может?","Why (he / she) is not studying in secondary school? Because (he / she) poor health; attend school can not?"
"555","rk8.20",803,"Как часто (он/она) встречается со сверстниками (вне детского сада/вне школы)?","How often (he / she) meets with peers (outside the kindergarten / out of school)?"
"556","rk8.3",740,"Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что (он/она) отчислен(а) из школы?","Why (he / she) is not studying in secondary school? Because (he / she) is deducted (a) from school?"
"557","rk8.4",741,"Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что семья хочет дать (ему/ей) домашнее образование?","Why (he / she) is not studying in secondary school? Because the family wants to give (him / her) home education?"
"558","rk8.5",742,"Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что близко от дома нет школы?","Why (he / she) is not studying in secondary school? Because close to home is no school?"
"559","rk8.6",745,"Почему (он/она) сейчас не учится в общеобразовательной школе? По другим причинам? *В 2013 году добавили  подвопросы k8.7 и k8.8. Ранее респонденты с этими причинами попадали в пункт  k8.6 (Другое)","Why (he / she) is not studying in secondary school? For other reasons? * In 2013, the added sub-questions k8.7 and k8.8. Previously these reasons respondents fell into the point k8.6 (Other)"
"560","rk8.7",743,"Почему (он/она) сейчас не учится в общеобразовательной школе? (Oн/она) не хочет учиться? *В 2013 году добавили этот подвопрос. Ранее респонденты с этой причиной попадали в пункт  k8.6 (Другое)","Why (he / she) is not studying in secondary school? (OH / she) does not want to learn? * In 2013, added the sub-question. Earlier this reason respondents fell into the point k8.6 (Other)"
"561","rk8.8",744,"Почему (он/она) сейчас не учится в общеобразовательной школе? Ребенок вынужден работать; чтобы помогать семье *В 2013 году добавили этот подвопрос. Ранее респонденты с этой причиной попадали в пункт  k8.6 (Другое)","Why (he / she) is not studying in secondary school? The child is forced to work; to help the family * In 2013, added the sub-question. Earlier this reason respondents fell into the point k8.6 (Other)"
"562","rk8.a.1a",748,"Скажите мне; пожалуйста; (он/она) занимается карате; дзюдо; гимнастикой; теннисом; плаванием?","Tell me; please; (he / she) is engaged in karate; judo; gymnastics; tennis; swimming?"
"563","rk8.a.1b",749,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) занимается карате; дзюдо; гимнастикой; теннисом; плаванием? (ЧАСОВ)","Tell me; please; how many hours and minutes a week (he / she) is engaged in karate; judo; gymnastics; tennis; swimming? (Hours)"
"564","rk8.a.1c",750,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) занимается карате; дзюдо; гимнастикой; теннисом; плаванием? (МИНУТ)","Tell me; please; how many hours and minutes a week (he / she) is engaged in karate; judo; gymnastics; tennis; swimming? (MIN)"
"565","rk8.a.2a",751,"Скажите мне; пожалуйста; (он/она) играет в мячик; катается на коньках; на велосипеде; на роликах?","Tell me; please; (he / she) plays a ball; skates; cycling; Roller?"
"566","rk8.a.2b",752,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет в мячик; катается на коньках; на велосипеде; на роликах? (ЧАСОВ)","Tell me; please; how many hours and minutes per week (he / she) plays ball; skates; cycling; Roller? (Hours)"
"567","rk8.a.2c",753,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет в мячик; катается на коньках; на велосипеде; на роликах? (МИНУТ)","Tell me; please; how many hours and minutes per week (he / she) plays ball; skates; cycling; Roller? (MIN)"
"568","rk8.a.3a",754,"Скажите мне; пожалуйста; (он/она) занимается танцами; бегает; прыгаете; играет в классики; в прятки?","Tell me; please; (he / she) is engaged in dancing; runs; jump; Hopscotch; hide and seek?"
"569","rk8.a.3b",755,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) занимается танцами; бегает; прыгает; играет в классики; в прятки? (ЧАСОВ)","Tell me; please; how many hours and minutes a week (he / she) is engaged in dancing; runs; jumps; Hopscotch; hide and seek? (Hours)"
"570","rk8.a.3c",756,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) занимается танцами; бегает; прыгает; играет в классики; в прятки? (МИНУТ)","Tell me; please; how many hours and minutes a week (he / she) is engaged in dancing; runs; jumps; Hopscotch; hide and seek? (MIN)"
"571","rk8.a.4a",757,"Скажите мне; пожалуйста; (он/она) играет сидя: на лавочке; в песочнице?","Tell me; please; (he / she) plays sitting: on the bench; in the sandbox?"
"572","rk8.a.4b",758,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет сидя: на лавочке; в песочнице? (ЧАСОВ)","Tell me; please; how many hours and minutes a week (he / she) plays sitting: on the bench; in the sandbox? (Hours)"
"573","rk8.a.4c",759,"Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет сидя: на лавочке; в песочнице? (МИНУТ)","Tell me; please; how many hours and minutes a week (he / she) plays sitting: on the bench; in the sandbox? (MIN)"
"574","rk9",804,"В течение последних 7 дней за ребенком ухаживал кто-то; кто не является членом Вашего домохозяйства: знакомые; работники детских учреждений; воспитатели школ; родственники; которые живут отдельно?","In the last 7 days of the child courted someone; who is not a member of your household: the familiar; child care workers; school teachers; relatives; who live separately?"
"575","rl20",453,"Вы лежали в больнице в течение последних трех месяцев?","You were in the hospital for the last three months?"
"576","rl2.2",419,"У Вас есть договор на дополнительное добровольное медицинское страхование; обслуживание с какой-нибудь страховой фирмой; поликлиникой; больницей; медицинским центром?","Do you have a contract for additional voluntary health insurance; service with any insurance company; polyclinic; hospital; medical center?"
"577","rl23",454,"Сколько всего дней из последних трех месяцев Вы провели в больнице?","How many days in the past three months you spent in the hospital?"
